regulation_project_id;Цели предлагаемого регулирования;Индикативные показатели;Единицы измерения индикативных показателей;Способы расчета индикативных показателей
113109;Закрепление проведения государственного контроля (надзора) в области безопасного обращения с пестицидами и агрохимикатами при пропуске лиц, транспортных средств, грузов, товаров и животных через государственную границу Российской Федерации ;количество проконтролированных при ввозе пестицидов и агрохимикатов;тыс. тонн;общее количество ввезенных пестицидов и агрохимикатов
113123;"Сохранение статуса Министерства как оператора ГИСП согласно статье 14 Федерального закона № 488-ФЗ,
делегирующего часть функций оператора.";Отсутствует;Отсутствует;Отсутствует
113171;Формирование перечня продукции переработки зерна в целях последующего внесения в Федеральную государственную информационную систему прослеживаемости зерна и продуктов переработки зерна;Установление индикативных показателей не требуется;отсутствуют;отсутствуют
113177;-;-;нет;нет
113207;Уменьшение объема незаконного оборота велосипедной продукции;не менее 25;%;Мониторинг будет вестись оператором государственной информационной системы мониторинга за оборотом товаров, подлежащих обязательной маркировке средствами идентификации, созданной за счет частных средств на основе государственно-частного партнерства. 
113219;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
113228;установление достаточных требований для обеспечения информационной безопасности доверенными лицами УЦ ФНС при реализации ими переданных полномочий;издание приказа;-;-
113236;Актуализация  норм приказа №80н  путем разработки и утверждения приказа Минтруда России России «О внесении изменений в приказ приказ Минтруда России от 7 февраля 2014 г. № 80н «О форме и порядке подачи декларации соответствия условий труда государственным нормативным требованиям охраны труда, Порядке формирования и ведения реестра деклараций соответствия условий труда государственным нормативным требованиям охраны труда» в части установления бессрочного статуса деклараций;Количество поданных деклараций соответствия государственным нормативным требованиям охраны труда;шт.;Статистическая отчетность Роструда
113256;Положения проекта постановления позволят установить порядок организации и осуществления федерального государственного (контроля) надзора в области промышленной безопасности в соответствии с требованиями Федерального закона № 248-ФЗ;Уменьшение/ увеличение количества аварийных ситуаций на опасных производственных объектах;Количество событий в год;Сравнение с показателями за предыдущие периоды
113256;Положения проекта постановления позволят установить порядок организации и осуществления федерального государственного (контроля) надзора в области промышленной безопасности в соответствии с требованиями Федерального закона № 248-ФЗ;Количество контрольных (надзорных) мероприятий, действий (по видам);Единиц в год;Сравнение с показателями за предыдущие периоды
113264;Решение проблемы, указанной в п. 3.1, и предупреждение возникновения проблемы, указанной в п. 3.2.;Отсутствуют ;Отсутствуют ;Отсутствуют 
113287;Цели регулирования, подлежащие измерению, законопроектом не устанавливаются.;Отсутствуют.;Отсутствуют.;Отсутствуют.
113298;Установление порядка осуществления федерального государственного контроля (надзора) за проведением работ по активным воздействиям на гидрометеоролгические процессы с целью предупреждения.выявления и пресечения нарушений юридическими лицами требований, правил и норм, установленных федеральными законами;количество проведенных поановых и неплановых, документарных и выездных проверок;шт;Количество проверок
113326;-;-;-;-
113327;-;-;-;-
113333;"(Цель N)																								
																								
";"(Показатель N.1)																						
";нет;нет
113333;"(Цель N)																								
																								
";"(Показатель N.K)																						
";нет;нет
113335;Необходимость в соответствии с положениями части 3 статьи 263 Федерального закона от 03.08.2018 № 289-ФЗ «О таможенном регулировании в Российской Федерации и о внесении изменений в отдельные законодательные акты Российской Федерации» установления порядка проведения ведомственного контроля решений, действий (бездействия), а также формы решения, принимаемого по результатам ведомственного контроля;Отсутствуют;Отсутствуют;Отсутствуют
113340;нет;нет;нет;нет
113344;Повышение уровня промышленной безопасности, исключение избыточных требований. ;Уменьшение/ увеличение обращений граждан и организаций по вопросам применения Федеральных норм и правил в области промышленной безопасности;Количество событий в год;Сравнение с показателями за предыдущие периоды
113347;Учет объема производства и (или) оборота собранного винограда и объема винограда, использованного для производства винодельческой продукции, в том числе винодельческой продукции с защищенным географическим указанием, с защищенным наименованием места происхождения, и полного цикла производства дистиллятов.;Декларация.;Количество поданных деклараций.;Прямой учет.
113348;Федеральный государственный контроль (надзор) за проведением работ по активного воздействию на гидрометеорологические процессы;Результативность и эффективность проведения проверок;шт;количество проверок
113349;нет;нет;нет;нет
113369;"Реализация модели организации комплексного транспортного обслуживания населения в Российской Федерации, выработанной в ходе проведения Государственного совета, посвященного вопросам комплексного развития пассажирских перевозок
в субъектах Российской Федерации, состоявшемся 22 сентября 2017 г. в Ульяновске.";Показатели  не установлены;-;-
113386;Федеральный государственный контроль (надзор) за проведением работ  по активным воздействиям на гидрометеорологические процессы;количество проведения плановых и внеплановых проверок;шт;Количество проверок
113392;Положения проекта постановления позволят установить порядок организации и осуществления лицензионного контроля за деятельностью по проведению экспертизы промышленной безопасности в соответствии с требованиями Федерального закона № 248-ФЗ;Уменьшение/ увеличение количества аварийных ситуаций на опасных производственных объектах;Количество событий в год;Сравнение с показателями за предыдущие периоды
113396;нет;нет;нет;нет
113404;направлен на обеспечение возможности предоставления сведений, содержащихся в ЕГРЗ, Федеральному казначейству в целях реализации возложенных на него полномочий оператора;Нет;Нет;Нет
113408;-;-;-;-
113417;-;-;-;-
113422;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
113425;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
113435;-;-;-;-
113442;"сокращение сроков принятия решения о предварительном согласовании земельных участков, находящихся в государственной или муниципальной собственности;
сокращение сроков принятия решения о предоставлении земельных участков, находящихся в государственной или муниципальной собственности;
сокращение сроков предоставления земельных участков, находящихся в государственной или муниципальной собственности, для индивидуального жилищного строительства;
пресечение недобросовестных действий лиц, направляющих заявки о намерении участвовать в аукционе в целях получения земельного участка для целей, предусмотренных статьей 39.18 Земельного кодекса Российской Федерации, без реального намерения участвовать в таком аукционе;
упорядочивание процедуры образования земельных участков, находящихся в государственной или муниципальной собственности.
";отсутствуют;отсутствуют;отсутствуют
113445;"Результативность и эффективность осуществления контрольно-надзорной деятельности в отношении субъектов отрасли драгоценных металлов и драгоценных камней																								
																								
";"(Показатель N.1)																						
";-;-
113445;"Результативность и эффективность осуществления контрольно-надзорной деятельности в отношении субъектов отрасли драгоценных металлов и драгоценных камней																								
																								
";"(Показатель N.K)																						
";-;-
113459;Положения, содержащиеся в  Перечне индикаторов риска нарушения обязательных требований, проекта приказа Ростехнадзора позволят установить порядок осуществления федерального лицензионного контроля за производством маркшейдерских работ в соответствии с положениями Федерального закона от 31 июля 2020 г. № 248-ФЗ ;"Количество контрольных (надзорных) мероприятий, действий за производством маркшейдерских работ
";Единиц в год;Сравнение с показателями за предыдущие периоды
113465;Положения проекта постановления позволят установить порядок организации и осуществления  федерального государственного горного контроля (надзора) в соответствии с требованиями Федерального закона № 248-ФЗ;"Уменьшение/ увеличение количества аварийных ситуаций на опасных производственных объектах

Количество контрольных (надзорных) мероприятий, действий (по видам)
";"Количество событий в год


Единиц в год";"Сравнение с показателями за предыдущие периоды


Сравнение с показателями за предыдущие периоды"
113471;-;-;-;-
113475;Изъятие из оборота, экспертиза, возврат или утилизация партии зерна, не соответствующей требованиям международных договоров Российской Федерации, иных актов, составляю-щих право Евразийского экономического сою-за, и за-конодательства Российской Федерации, и (или) на которую отсутствуют товаросопроводительные документы, в том числе товаросопроводительный документ на пар-тию зерна, и (или) в отношении которой установлен факт фальсификации;Снижение случаев выявления партии зерна, не соответствующей требованиям меж-дународных дого-воров Российской Федерации, иных актов, составляю-щих право Евразийского эко-номического сою-за, и законодатель-ства Российской Федерации, и (или) на которую отсутствуют товаросопроводительные документы, в том числе товаросопроводительный документ на пар-тию зерна, и (или) в отношении которой установлен факт фальсификации;количество случаев;Прямой учет количества выявленных случаев, при осу-ществлении контрольно-надзорной деятельности
113477;"Первая группа изменений направлена на актуализацию нормативно-правовых актов в связи со вступлением в силу Федерального закона от 20 июля 2020 г. № 217-ФЗ «О внесении изменений в часть четвертую Гражданского кодекса Российской Федерации».
Вторая группа изменений направлена на реализацию положений Федерального закона от 31 июля 2020 г. № 262-ФЗ «О внесении изменений в часть четвертую Гражданского кодекса Российской Федерации».
Третья группа изменений связана с актуализацией Положения о пошлинах.";"Количество охранных документов, выданных в электронной форме, 
Количество дубликатов охранных документов, выданных на бумажном носителе, 
Сумма уплаченных пошлин, связанных с проведением предварительного информационного поиска и предварительной оценки патентоспособности в аккредитованной Роспатентом российской научной и образовательной организации.";"Охранный документ, выданный в электронной форме,
Дубликат охранного документа, выданный на бумажном носителе,
Сумма уплаченной пошлины, связанной с проведением предварительного информационного поиска и предварительной оценки патентоспособности в аккредитованной Роспатентом российской научной и образовательной организации.";Учет Роспатентом.
113482;Реализация основополагающей идеи Федерального закона от 31 июля 2020 г. № 262-ФЗ «О внесении изменений в часть четвертую Гражданского кодекса Российской Федерации», предусматривающей привлечение высококвалифицированных научных кадров, обладающих компетенциями в определенных областях науки и техники, к проведению предварительного информационного поиска и предварительной оценки патентоспособности патентуемых в Роспатенте изобретений и полезных моделей.;Количество аккредитованных  Роспатентом российских научных и образовательных организаций.;Аккредитованная  Роспатентом российская научная и образовательная организация.;Учет аккредитованных российских научных и образовательных организаций Роспатентом.
113517;Совершенствование порядка  ввоза незарегистрированных лекарственных средств для медицинского применения в Российскую федерации ;Увеличение количества выданных заключений;Штук;Не применимо
113525;Утверждение Требований, определяющих, периодичность, объем и нормы испытаний электрооборудования;-;-;-
113526;-;-;-;-
113529;Урегулирование отношений, связанных с организацией и осуществлением федерального государственного пожарного надзора.;Отсутствуют;Отсутствуют;Отсутствуют
113534;Организация на базе ЕИСЖС статистического учета и мониторинга по полному циклу жилищного строительства, от градостроительной документации до сделки с жильем на первичном и вторичном рынках.;отсутствуют ;отсутствуют ;отсутствуют 
113536;информация уточняется;информация уточняется;информация уточняется;информация уточняется
113545;--;-;--;-
113547;Основные цели предлагаемого регулирования – решение проблемы, указанной в п. 3.1.;отсутствуют;отсутствуют;отсутствуют
113580;Положения проекта постановления позволят установить порядок организации и осуществления лицензионного контроля за деятельностью, связанной с обращением взрывчатых материалов промышленного назначения в соответствии с требованиями Федерального закона № 248-ФЗ;Уменьшение/ увеличение количества аварийных ситуаций на опасных производственных объектах;Количество событий в год;Сравнение с показателями за предыдущие периоды
113590;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
113591;.;.;.;.
113602;решение проблемы, указанной в пункте 3.1 и 3.2;Доля удовлетворенных (рассмотренных) хозяйствующим субъектом претензий от количества поступивших обращений граждан на нарушение их прав потребителей ;%;100 (общее количество удовлетворенных требований)
113633;Установление единой методики расчета стоимости проведения экзамена по русскому языку как иностранному, истории России и основам законодательства Российской Федерации и максимального размера указанной стоимости;Нет;Нет;Нет
113635;Установление единой формы и порядка проведения экзамена по русскому языку как иностранному, истории России и основам законодательства Российской Федерации;нет;нет;нет
113637;Установление единого порядка и сроков хранения материалов проведения экзамена по русскому языку как иностранному, истории России и основам законодательства Российской Федерации;нет;нет;нет
113641;приведение используемой терминологии в соответствие с Федеральным законом и установление различных сроков хранения сведений о сертификатах.;нет;нет;нет
113642;решение проблем, указанных в п.3.1. и 3.2;нет;нет;нет
113649;-;-;-;-
113652;нет;нет;нет;нет
113654;отсутствует;отсутствует;отсутствует;отсутствует
113655;нет;нет;нет;нет
113661;Отсутствует;Отсутствует;м;Отсутствует
113662;Отсутствует ;Отсутствует ;Отсутствует ;Отсутствует 
113665;Установление требований к размещению и характеристикам мест (пунктов) складирования древесины (складов древесины) в целях реализации новой статьи 50.4-1 Лесного кодекса (в редакции Федерального закона № 3-ФЗ);Не установлены.;Не установлены.;Не требуются.
113698;Обеспечение формирования отвечающей интересам Российской Федерации миграционной ситуации, способствующей решению задач в сфере социально-экономического, пространственного и демографического развития страны, повышения качества жизни ее населения, обеспечения безопасности государства, защиты национального рынка труда, поддержания межнационального и межрелигиозного мира и согласия в российском обществе, в сфере защиты и сохранения русской культуры и русского языка.;Отсутствуют;Отсутствуют;Отсутствуют
113711;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
113713;Исключение полномочия Правительства Российской Федерации утверждать перечень видов медицинской деятельности, осуществление которых не препятствует осуществлению розничной продажи алкогольной продукции и розничной продажи алкогольной продукции при оказании услуг общественного питания на прилегающих территориях. ;нет;нет;нет
113715;Установление правил подтверждения компетентности эксперта-аудитора и требований к экспертам-аудиторам;Отсутствуют;Отсутствуют;Отсутствуют
113718;Установление еди-ных правил и про-цедур проведения подтверждения со-ответствия;Не применимо;Отсутствуют;Отсутствуют
113720;осуществления порядка маркирования продукции;отсутствие немаркированной продукции в обращении;штука, набор;аналитика данных производителей продукции, поставщиков сырья
113726;Уточнение продукции, которая должна маркироваться знаком обращения на рынке, требования к описанию и изображению которого утверждены постановлениеи Правительства Российской Федерации от 19 ноября 2003 г. № 696 «О знаке обращения на рынке»;Не предусмотрено;Не предусмотрено;Не предусмотрено
113734;-;-;нет;нет
113736;Категоризация объектов, оказывающих негативное воздействие на окружающую среду;не требуется;отсутствуют;отсутствуют
113747;Положения проекта постановления позволят установить порядок организации и осуществления  федерального государственного контроля (надзора) в области безопасности гидротехнических ооружений в соответствии с требованиями Федерального закона № 248-ФЗ;Уменьшение/ увеличение количества аварийных ситуаций на гидротехнических сооружениях.  Количество контрольных (надзорных) мероприятий, действий (по видам);Количество событий в год;Сравнение с показателями за предыдущие периоды  
113756;Повышение эко-номического эффекта от реализуемых Правительством Российской Федерации мер, направленных на стабилизацию ценовой ситуации на рынке зерна.;Отсутствуют.;Отсутствуют.;Отсутствуют.
113761;отсутствуют;отсутствуют;отсутствуют;отсутствуют
113763;Положения проекта постановления позволят установить порядок организации и осуществления лицензионного контроля при осуществлении деятельности по производству маркшейдерских работ в соответствии с требованиями Федерального закона № 248-ФЗ;Уменьшение/ увеличение количества аварийных ситуаций на опасных производственных объектах;Количество событий в год;Сравнение с показателями за предыдущие периоды
113765;-;-;-;-
113777;Отсутствуют.;Отсутствуют.;Отсутствуют.;Отсутствуют.
113807;Совершенствование нормативов допустимого изъятия охотничьих ресурсов и нормативов численности охотничьих ресурсов в охотничьих угодьях.;-;-;-
113819;Ведение учета зерна и (или) продуктов переработки зерна;Отсутствуют.;Отсутствуют.;Отсутствуют.
113821;-;-;-;-
113823;нет;нет;нет;нет
113825;внести изменения в Налоговый кодекс Российской Федерации ;отсутствуют;отсутствуют;отсутствуют
113828;Принятие приказа Минтранса России «Критерии определения категорий поездов для перевозки  пассажиров в зависимости от скорости их движения и расстояния следования»;нет;нет;нет
113831;-;-;-;-
113839;Положения проекта постановления позволят установить порядок организации и осуществления  федерального государственного энергетического контроля (надзора)  в соответствии с требованиями Федерального закона № 248-ФЗ;Уменьшение/ увеличение количества аварийных ситуаций.  Количество контрольных (надзорных) мероприятий, действий (по видам);Количество событий в год;Сравнение с показателями за предыдущие периоды
113843;Цели предлагаемого регулирования описаны в пункте 1.6;Доля удовлетворенных (рассмотренных) хозяйствующим субъектом  претензий от количества обращений, поступивших от граждан на нарушение их прав, как потребителей;%;100 (общее количество удовлетворенных требований
113846;решение проблем, указанных в п. 3.1 и 3.2;доля удовлетворенных хозяйствующим субъектом претензий от количества поступивших обращений граждан;%;100 (общее количество удовлетворенных требований)
113854;цели предлагаемого регулирования описаны в пункте 1.6;Доля удовлетворенных (рассмотренных) хозяйствующим субъектом претензий от количества обращений, поступивших от граждан на нарушение их прав, как потребителей;%;100 (Общее количество удовлетворенных требований)
113858;Положения, содержащиеся в  Перечне индикаторов риска нарушения обязательных требований, проекта приказа Ростехнадзора позволят установить порядок осуществления федерального лицензионного контроля за деятельностью, связанной с обращением взрывчатых материалов промышленного назначения в соответствии с положениями Федерального закона от 31 июля 2020 г. № 248-ФЗ;Количество контрольных (надзорных) мероприятий, действий за деятельностью, связанной с обращением взрывчатых материалов промышленного назначения;Единиц в год;Сравнение с показателями за предыдущие периоды
113870;цели предлагаемого регулирования описаны в пункте 1.6;доля удовлетворенных (рассмотренных) хозяйствующим субъектом претензий от количества обращений, поступивших от граждан на нарушение их прав, как потребителей;%;100 (от общего количества удовлетворенных требований
113871;Положения, содержащиеся в  Перечне индикаторов риска нарушения обязательных требований, проекта приказа Ростехнадзора позволят установить порядок осуществления федерального контроля и надзора  за деятельностью, связанной с ведением горных работ и переработки полезных ископаемых в соответствии с положениями Федерального закона от 31 июля 2020 г. № 248-ФЗ;Количество контрольных (надзорных) мероприятий, действий при осуществлении федерального государственного горного надзора;Единиц в год;Сравнение с показателями за предыдущие периоды
113876;цели предлагаемого регулирования описаны в пункте 1.6;доля удовлетворенных (рассмотренных) хозяйствующим субъектом претензий от количества обращений, поступивших от граждан на нарушение их прав, как потребителей;%;100 от общего количества удовлетворенных требований
113879;------------;----------------;------------;--------------
113880;решение проблемы, указанной в пункте 3.1 и 3.2;доля удовлетворенных (рассмотренных) хозяйствующим субъектом претензий потребителей от количества поступивших обращений граждан на нарушение их прав;%;100 (общее количество удовлетворенных требований)
113884;Установление индикативных показателей результативности и эффективности осуществления федерального государственного контроля (надзора) в области рыболовства и сохранения водных биологических ресурсов; нет ;нет;нет
113890;из пункта 1.6;доля удовлетворенных хозяйствующим субъектом претензий (от количества обращений, поступивших от граждан на нарушение их потребительских прав);%;100 от общего количества удовлетворенных требований
113919;Предупреждение, выявление и пресечение нарушений обязательных требований посредством профилактических мероприятий;отсутствуют;отсутствуют;отсутствуют
113927;Наделение Правительства Российской Федерации полномочием по определению порядка ранее осуществлявшегося надзора в области обеспечения безопасности объектов (в том числе лифтов);индикативные показатели отсутствуют;индикативные показатели отсутствуют;индикативные показатели отсутствуют
113932;"Принятие постановления Правительства Российской Федерации направлен на Утверждение постановления Правительства Российской Федерации ""О внесении изменений в некоторые акты Правительства Российской Федерации""";нет;нет;нет
113935;"Снижение издержек субъектов федерального государственного  контроля (надзора) в области рыболовства и сохранения водных биологических ресурсов путем оптимизации количества проведения контрольных (надзорных) мероприятий посредством установления периодичности их проведения для различных групп риска,  2. Оптимальное использование трудовых ресурсов;  3. Повышение эффективности осуществления федерального государственного контроля (надзора) для достижения оптимального уровня безопасности охраняемых законом ценностей и минимизация возникновения рисков нарушения такой безопасности.";"1. Вред причиненный в результате нарушения обязательных требований в области рыболовства и сохранения водных биологических ресурсов;  2. Эффективность контрольно-надзорной деятельности   3. Объем предотвращенного ущерба";. 1. Проценты 2. Млн. руб. 3.  руб.;1. Будут утверждены приказом Минсельхоза России            2. Будут утверждены приказом Минсельхоза России      3. Будут утверждены приказом Минсельхоза России
113935;"Снижение издержек субъектов федерального государственного  контроля (надзора) в области рыболовства и сохранения водных биологических ресурсов путем оптимизации количества проведения контрольных (надзорных) мероприятий посредством установления периодичности их проведения для различных групп риска,  2. Оптимальное использование трудовых ресурсов;  3. Повышение эффективности осуществления федерального государственного контроля (надзора) для достижения оптимального уровня безопасности охраняемых законом ценностей и минимизация возникновения рисков нарушения такой безопасности.";"1. Вред причиненный в результате нарушения обязательных требований в области рыболовства и сохранения водных биологических ресурсов;  2. Эффективность контрольно-надзорной деятельности   3. Объем предотвращенного ущерба";1. Проценты 2. Млн. руб. 3.  руб.;1. Будут утверждены приказом Минсельхоза России            2. Будут утверждены приказом Минсельхоза России      3. Будут утверждены приказом Минсельхоза России
113951;Установление порядка представления резидентами налоговым органам отчетов о переводах денежных средств без открытия банковского счета с использованием электронных средств платежа, предоставленных иностранными поставщиками платежных услуг;"индикативные показатели отсутствуют																																																																												
																																																																												";-;-
