regulation_project_id;Описание новых или изменения существующих функций, полномочий, обязанностей или прав;Порядок реализации;Оценка изменения трудозатрат и (или) потребностей в иных ресурсах;Наименование органа
108852;"Новые полномочия:
организация работ по проведению почвенных, геоботанических и других обследований и мониторинга плодородия земель сельскохозяйственного назначения в соответствии с Федеральным законом «О государственном регулировании обеспечения плодородия земель сельскохозяйственного назначения»,
утверждение планов почвенных, геоботанических и других обследований в соответствии с Федеральным законом «О государственном регулировании обеспечения плодородия земель сельскохозяйственного назначения»";Организация работы подведомственных учреждений, утверждение государственного задания ;В рамках объема бюджетных ассигнований Минсельхозу России и государственного задания;Минсельхоз России
108865;Проверка соответствия лицензиата и соискателя лицензии лицензионным требованиям при осуществлении деятельности по техническому обслуживанию медицинской техники (в части наличия средств измерений, технических средств и оборудования, необходимых для технического обслуживания заявленных групп медицинской техники по классам потенциального риска применении);В соответствии с Положением о лицензировании ;Проведение проверок будет реализовано в пределах установленной Правительством Российской Федерации предельной численности работников центрального аппарата Росздравнадзора, а также бюджетных ассигнований, предусмотренных Службе в федеральном бюджете на руководство и управление в сфере установленных функций.;Федеральная служба по надзору в сфере здравоохранения 
108871;Таможенные органы Российской Федерации;-;-;-
108871;определение порядка ввоза, вывоза и хранения товаров, помещенных за пределами портовых участков и логистических участков под таможенные процедуры, применимые к вывозимым товарам, на (с) территорию(ии) портовых участков и логистических участков Арктической зоны Российской Федерации;- выполнение требований приказа ;-;-
108876;отсутствует;отсутствует;отсутствует;отсутствует
108895;нет;нет;нет;нет
108918;отсутствует;отсутствует;отсутствует;отсутствует
108923;не изменяются;не изменяются;Соблюдение обязательных требований, содержащихся в проекте приказа, будет осуществляться заинтересованными органами государственной власти и государственных учреждений в пределах установленном численности их работников, а также бюджетных ассигнований, предусмотренных данным органам и учреждениям. ;Федеральная служба по надзору в сфере природопользования и ее территориальные органы, органы государственной власти субъектов Российской Федерации, федеральные государственные бюджетные учреждения, осуществляющие управление ООПТ федерального значения, государственные учреждения, осуществляющие управление ООПТ регионального значения, органы местного самоуправления. 
108924;Введение новых функций, полномочий не предусматривается;В рамках государственного контроля (надзора) в сфере обращения лекарственных средств;Не потребуется изменение трудозатрат и (или) потребностей в иных ресурсах;Россельхознадзор
108930;Росгидромет;Законопроектом  в статью 8.40 вводятся новые  функции и полномочия Росгидромета;не меняется ;Изменения вносятся в статью 8.40 Кодекса Российской Федерации об административных правонарушениях
108932;Наделение полномочием Минздрава России в части определения порядка составления наименования лекарственной формы; ; ;Переиздание Приказа № 538н с разработкой соответствующего порядка.
108942;Функции, полномочия, обязанности и права Уполномоченного органа не изменяются;"Порядок реализации предусмотрен нормами проекта приказа ""Об утверждении порядка документации по планировке территории для размещения автомобильных дорог общего пользования федерального значения""";Принятие проекта приказа не потребует дополнительных расходов из федерального бюджета и изменения порядка финансирования федеральных органов исполнительной власти и не повлияет на деятельность органов государственной власти субъектов Российской Федерации и (или) органов местного самоуправления, в части увеличения численности органов;Уполномоченный орган на принятие решения о подготовке документации по планировке территории для автомобильных дорог общего пользования федерального значения
108945;(N.1);-;-;(Орган N)
108945;(N.K);-;-;(Орган N)
108949;-;-;-;(Орган)
108949;(N.K);-;-;(Орган)
108952;(N.1);-;-;(Орган N)
108952;(N.K);-;-;(Орган N)
108960;(N.1);-;-;(Орган N)
108960;(N.K);-;-;(Орган N)
108962;Согласно законопроекту уполномоченный федеральный орган исполнительной власти по выдаче сертификата здоровья устанавливается Правительством Российской Федерации;В рамках полномочий;Не предполагается;Устанавливается Правительством Российской Федерации
108976;Органы государственной власти субъектов Российской Федерации, ;В соответствии с действующим законодательством Российской Федерации;Реализация положений проекта постановления не потребует дополнительных расходов, трудозатрат или иных ресурсов;"Определение органами государственной власти субъектов Российской Федерации мест нахождения источников повышенной опасности, в которых не допускается розничная продажа алкогольной продукции и розничная продажа алкогольной продукции при оказании услуг общественного питания;"
109036;отсутствуют;отсутствуют;отсутствуют;отсутствуют
109043;Отсутствует;Отсутствует;Отсутствует;Отсутствует
109052;не требуется;не требуется;не требуется;Ростехнадзор, субъекты Российской Федерации
109071;отсутствует;отсутствует;отсутствует;отсутствует
109077;Отсутствует.;Отсутствует.;Отсутствует.;Для федеральных органов исполнительной власти, органов государственной власти субъектов Российской Федерации и органов местного самоуправления новые полномочия, обязанности и права проектом акта не предусмотрены.
109088;Введение новых функций не предусматривается;-;-;(Орган N)
109095;-;-;-;-
109096;Отсутствует;Отсутствует;Отсутствует;Отсутствует
109107;Отсутствуют;нет;нет;Новые или изменения существующих функций, полномочий и обязанностей государственных органов проектом акта не предусматриваются
109134;Отсутствуют;Сохраняется существующий порядок;Не требуется;Росздравнадзор, территориальные органы Росздравнадзора, органы государственной власти субъектов Российской Федерации, осуществляющие полномочия по лицензированию отдельных видов деятельности
109153;-;-;-;-
109155;Отсутствует;Отсутствует;Отсутствует;Отсутствует
109164;Отсутствует;Отсутствует;Отсутствует;Отсутствует
109195;отсутствуют;отсутствуют;отсутствуют;отсутствуют
109198;Введение новых функций, полномочий не предусматривается;В рамках государственного контроля (надзора) ;Не потребуется изменение трудозатрат и (или) потребностей в иных ресурсах;Россельхознадзор
109200;Проектом постановления не предусмотрены новые или изменение существующих функций, полномочий, обязанностей или прав;-;-;"отсутствует
"
109202;___;___;___;___
109204;Не предусмотрены;Не потребуется;Не потребуется;Не предусмотрен
109236;Упрощается порядок предоставления информации из реестра лицензий на осуществление деятельности по управлению многоквартирными домами.;В рамках имеющих полномочий;Трудозатраты не изменятся;Орган государственного жилищного надзора субъекта Российской Федерации
109238;отсутствует;отсутствует;отсутствует;проект приказа ФНС России не подразумевает новых или изменений существующих функций, полномочий, обязанностей или прав
109279;Новые отсутствуют;Нет;Изменений не усматривается;Ростехнадзор
109280;Нормативно-правовое регулирование по установлению типовой формы решения о консервации и (или) ликвидации гидротехнического сооружения.;В соответствии с действующим законодательством Российской Федерации.;Дополнительного финансирования не требуется. Будут реализовываться в рамках установленных бюджетных ассигнований.;Ростехнадзор.
109290;Нормативно-правовое регулирование по установлению порядка подготовки, представления и учета предложений органов государственной власти, органов местного самоуправления, на территории которых находится гидротехническое сооружение, которое не имеет собственника или собственник которого неизвестен либо от права собственности на которое собственник отказался, о необходимости его консервации и (или) ликвидации (за исключением судоходных и портовых гидротехнических сооружений).;В соответствии с действующим законодательством Российской Федерации.	;Дополнительного финансирования не требуется. Будут реализовываться в рамках установленных бюджетных ассигнований.;Ростехнадзор
109298;Нормативно-правовое регулирование по установлению формы акта обследования гидротехнического сооружения и его территории после осуществления мероприятий по консервации и (или) ликвидации (за исключением судоходных и портовых гидротехнических сооружений).;В соответствии с действующим законодательством Российской Федерации.;Дополнительного финансирования не требуется. Будут реализовываться в рамках установленных бюджетных ассигнований.;Ростехнадзор
109311;не требуется;не требуется;не требуется;Ростехнадзор, субъекты Российской Федерации
109318;-;-;-;-
109320;-;-;-;-
109336;Минвостокразвития России;"1) осуществляет выдачу разрешений на строительство, разрешений на ввод объектов в эксплуатацию при осуществлении строительства и реконструкции объектов инфраструктуры Арктической зоны, застройщиками которых являются резиденты Арктической зоны или управляющая компания и которые расположены на земельных участках, предоставленных управляющей компании в соответствии со статьей 15 настоящего Федерального закона (за исключением объектов обороны и безопасности, объектов использования атомной энергии, объектов, строительство которых осуществляется в границах особо охраняемых природных территорий);
2) утверждает порядок ведения реестра резидентов Арктической зоны, состав сведений, содержащихся в указанном реестре, а также порядок предоставления таких сведений;
3) утверждает форму свидетельства, удостоверяющего регистрацию в качестве резидента Арктической зоны;
4) утверждает примерную форму соглашения об осуществлении инвестиционной деятельности;
5) осуществляет контроль за деятельностью управляющей компании;
6) предоставляет земельные участки, находящиеся в федеральной собственности, свободные от прав третьих лиц и расположенные в Арктической зоне, а также расположенные на них объекты недвижимости, находящиеся в федеральной собственности и свободные от прав третьих лиц, в целях реализации резидентами Арктической зоны инвестиционных проектов;
7) заключает соглашение, предусмотренное статьей 15 настоящего Федерального закона, по передаче управляющей компании полномочий по предоставлению земельных участков, находящихся в федеральной собственности, свободных от прав третьих лиц и расположенных в Арктической зоне, а также расположенных на них объектов недвижимости, находящихся в федеральной собственности и свободных от прав третьих лиц;
8) определяет форму и порядок выдачи свидетельства о выполнении резидентом Арктической зоны условий соглашения об осуществлении инвестиционной деятельности;
9) устанавливает формы заявок, указанных в частях 1 и 24 статьи 9 настоящего Федерального закона;
10) устанавливает требования к бизнес-плану, указанному в части 2 статьи 9 настоящего Федерального закона;
11) утверждает формат подачи в электронной форме документов, указанных в части 2 статьи 9 настоящего Федерального закона;
12) утверждает методику определения значений предельно допустимых отклонений от параметров реализации инвестиционного проекта, предусмотренных соглашением об осуществлении инвестиционной деятельности;
13) устанавливает порядок согласования внеплановых проверок резидентов Арктической зоны и порядок согласования оснований, заявленных органами государственного контроля (надзора) и органами муниципального контроля для их проведения;
14) организует предоставление резидентам Арктической зоны услуг, необходимых для осуществления деятельности на территории Арктической зоны (в том числе юридических услуг, услуг по ведению бухгалтерского учета, услуг по таможенному оформлению);
";дополнительных трудозатрат не потребуется;-
109337;-;-;-;-
109338;Минвостокразвития России;осуществляет согласование проведения внеплановых проверок;дополнительных трудозатрат не потребуется;-
109339;Минвостокразвития России;необходимо утвердить комиссию по рассмотрению заявок;дополнительных трудозатрат не потребуется;-
109340;-;-;-;внесены изменения в положение о Минвостокразвития России в части установления право определения соответствующей формы свидетельства и порядка его выдачи
109351;Нормативно-правовое регулирование по утверждению методики определения размера вреда, который может быть причинен жизни, здоровью физических лиц, имуществу физических и юридических лиц в результате аварии гидротехнического сооружения (за исключением судоходных и портовых гидротехнических сооружений) .;В соответствии с действующим законодательством Российской Федерации.;Дополнительного финансирования не требуется. Будут реализовываться в рамках установленных бюджетных ассигнований.;Ростехнадзор.
109352;-;-;-;-
109355;В рамках существующих полномочий;В рамках существующих полномочий;Дополнительных трудозатрат не потребуется;Роснедра
109363;Нормативно-правовое регулирование по утверждению Порядка согласования плана мероприятий по обеспечению безопасности гидротехнического сооружения, которое не имеет собственника или собственник которого неизвестен либо от права собственности на которое собственник отказался.;В соответствии с действующим законодательством Российской Федерации.;Дополнительного финансирования не требуется. Будут реализовываться в рамках установленных бюджетных ассигнований.;Ростехнадзор.
109372;-;-;-;-
109382;В рамках существующих полномочий;В рамках существующих полномочий;Дополнительных трудозатрат не потребуется;Роснедра
109410;Отсутствует;Отсутствует;Отсутствует;Отсутствует
109411;Законопроект предусматривается   изменение  полномочий в части  отмены предоставления права  на добычу (вылов) китообразных для осуществления промышленного  рыболовства.    Создание новых или изменение существующих полномочий, обязанностей   или прав не предусмотрено.мочий, обязанностей   или прав не предусмотрено.;В соответствии с действующими нормативными  правовыми актами Российской Федерации в пределах установленной штатной численности Росрыболовства;законопроектом  не предусматривается  изменение  трудозатрат или иных ресурсов ;Росрыболовство
109426;информация отсутствует;информация отсутствует;информация отсутствует;информация отсутствует
109432;-;-;-;-
109441;новых функций, полномочий и обязанностей не возникает ;-;-;-
109458;Определение перечня замещающих мероприятий;Минэнерго России на основании представленных собственником предложений, заключения совета рынка и результатов проведения конкурентного отбора мощности новых генерирующих объектов (в случае его проведения) вправе определить перечень замещающих мероприятий и направить их собственнику (в его части) для реализации.;Изменения незначительны.;Минэнерго России
109459; Установление требований по использованию каналов связи доверенными лицами удостоверяющего центра ФНС России;Приказ;Реализация полномочий в пределах установленной Правительством Российской Федерации штатной численности и бюджетных ассигнований, предусмотренных ФНС России в федеральном бюджете на руководство и управление в сфере установленных функций.;ФНС России
109459;"Утверждение Типовых модели угроз и схемы информационного взаимодействия доверенного лица и удостоверяющего центра ФНС России, включающей схему доставки заявлений юридических лиц 
о получении ими квалифицированных сертификатов в удостоверяющий центр ФНС России";Приказ;Реализация полномочий в пределах установленной Правительством Российской Федерации штатной численности и бюджетных ассигнований, предусмотренных ФНС России в федеральном бюджете на руководство и управление в сфере установленных функций.;ФНС России
109460;Ведение реестра пользователей в соответствии с разграничением доступа пользователей к информации, изменения порядка доступа зарегистрированных пользователей в ЛесЕГАИС;В рамках исполнения полномочий;Изменения отсутствуют;Федеральное агентство лесного хозяйства
109468;"В связи с тем, что предлагаемые изменения вводят новый состав административного правонарушения, полномочиями по составлению протоколов об административных
правонарушениях по фактам непредставления предложений о цене (прогнозной
цене) продукции, поставляемой по государственному оборонному заказу, с
рассмотрением дел по указанному административному правонарушению
предлагается наделить должностных лиц ФАС России.
";"В соответствии с Федеральным законом от 29.12.12 № 275-ФЗ ""О государственном оборон-ном заказе""";В пределах установленного финансирования и штатной численности;Федеральная антимонопольная служба
109477;Выдача разрешений на добычу охотничьих ресурсов в электронной форме на территории Республики Карелия;В порядке, предусмотренном законодательством в сфере охоты и сохранения охотничьих ресурсов, а также в соответствии с нормативными правовыми актами Республики Карелия ;База данных,позволяющая вести учет выданных разрешений на добычу охотничьих ресурсов, а также приобретение технических средств, позволяющих проверять разрешения, выданные в электронном виде, потребность подключения к  информационной системе «ОХОТА».;Министерство природных ресурсов и экологии Республики Карелия
109482;нет;отсутствует;отсутствует;отсутствует
109512;Отсутствует;Отсутствует;Отсутствует;Отсутствует
109525;"Изменения  контрольно-надзорной деятельности, предусмотренные Федеральным законом от 31.07.2020 № 248-ФЗ ""О государственном контроле (надзоре) и муниципальном контроле в Российской Федерации""";"В рамках профилактических мероприятий, а также внеплановых контрольных мероприятий в соответствии с Федеральным законом ""О государственном контроле (надзоре) и муниципальном контроле в Российской Федерации""";Осуществление контрольно-надзорной деятельности будет осуществляться в пределах бюджетных ассигнований и штатной численности предусмотренных для МЧС России;Министерство Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий (МЧС России)
109532;Нет;Нет;Нет;Нет
109536;нет;нет;нет;нет
109539; ;Не предусмотрено;Не предусмотрено;-
109546;Отсутствует;Отсутствует;Отсутствует;Отсутствует
109557;Отсутствует.;Отсутствует.;Отсутствует.;Отсутствует.
109565;Нормативно-правовое регулирование по утверждению Квалификационных требований к специалистам, включаемым в состав экспертных комиссий по проведению государственной экспертизы деклараций безопасности гидротехнических сооружений (за исключением судоходных и портовых гидротехнических сооружений).;В соответствии с действующим законодательством Российской Федерации.	;Дополнительного финансирования не требуется. Будут реализовываться в рамках установленных бюджетных ассигнований.;Ростехнадзор
109568;Нормативно-правовое регулирование по утверждению Порядка формирования и регламента работы экспертных комиссий по проведению государственной экспертизы деклараций безопасности гидротехнических сооружений (за исключением судоходных и портовых гидротехнических сооружений).;В соответствии с действующим законодательством Российской Федерации.	;Дополнительного финансирования не требуется. Будут реализовываться в рамках установленных бюджетных ассигнований.;Ростехнадзор
109576;отсутствуют;отсутствуют;отсутствуют;отсутствуют
109577;Нормативно-правовое регулирование по утверждению Формы акта регулярного обследования гидротехнических сооружений (за исключением судоходных и портовых гидротехнических сооружений).;В соответствии с действующим законодательством Российской Федерации.	;Дополнительного финансирования не требуется. Будут реализовываться в рамках установленных бюджетных ассигнований.;Ростехнадзор
109587;отсутствуют;отсутствуют;отсутствуют;отсутствуют
109589;Нормативно-правовое регулирование по утверждению Формы декларации безопасности гидротехнических сооружений (за исключением судоходных и портовых гидротехнических сооружений).;В соответствии с действующим законодательством Российской Федерации.	;Дополнительного финансирования не требуется. Будут реализовываться в рамках установленных бюджетных ассигнований.;Ростехнадзор
109592;Нормативно-правовое регулирование по утверждению Требований к заключению экспертной комиссии по декларации безопасности гидротехнических сооружений (за исключением судоходных и портовых гидротехнических сооружений).;В соответствии с действующим законодательством Российской Федерации.	;Дополнительного финансирования не требуется. Будут реализовываться в рамках установленных бюджетных ассигнований.;Ростехнадзор
109593;Нормативно-правовое регулирование по утверждению состава и формы представления сведений о гидротехническом сооружении, необходимых для формирования и ведения Российского регистра гидротехнических сооружений.;В соответствии с действующим законодательством Российской Федерации.	;Дополнительного финансирования не требуется. Будут реализовываться в рамках установленных бюджетных ассигнований.;Ростехнадзор
109594;-;-;-;-
109628;Проектом постановления  не предусматривается создание новых или изменения существующих полномочий, обязанностей или прав, так как все полномочия уже реализуются в рамках положений Закона о рыболовстве и разработанных в целях его реализации нормативных правовых актах Правительства Российской Федерации.;В соответствии с действующими нормативными правовыми актами Российской Федерации в пределах установленной штатной численности и лимитов бюджетных ассигнований, предусмотренных законом о федеральном бюджете Росрыболовству;Проектом постановления не предусматривается изменение тредозатрат и (или) потребностей в иных ресурсах, так как все полномочия уже реализуются в рамках положений Закона о рыболовстве и разработанных в целях его реализации нормативных правовых актах Правительства Российской Федерации.;Росрыболовство
109648;Отсутствуют;Не требуется;Издание приказа не повлечет изменения трудозатрат и (или) потребностей в иных ресурсах ;Ростехнадзор
109652;-;-;-;-
109656;Минтранс России;-;-;-
109664;_;_;_;_
109667;Речной Регистор;-;Иных ресурсов не потребуются;Принятие приказа Минтранса России
109673;Введение новых или изменение существующих функций, полномочий, обязанностей не предусмотрен;-;-;-
109693;Введение новых или изменение существующих функций, полномочий, обязанностей не предусмотрен;Не требуется;Не требуется;Росздравнадзор
109756;-;-;-;-
109758;отствтуют;стандартный;-;Минтранс России
109763;-;-;-;-
109807;_;_;_;_
109874;Наделение Правительства Российской Федерации полномочиями по утверждению требований к программному обеспечению и оборудованию, используемому на объектах критической информационной инфраструктуры, и порядка перехода на преимущественное использование российского программного обеспечения и оборудования;Принятие акта Правительства Российской Федерации, утверждающего требования к программному обеспечению и оборудованию, используемому на объектах критической информационной инфраструктуры, и порядок перехода на преимущественное использование российского программного обеспечения и оборудования;нет;Правительство Российской Федерации
109885;Рассмотрение заявлений на проход судов судов под флагами государств-членов Евразийского экономического союза по внутренним водным путям Российской Федерации, направление их на согласование в ФОИВы и уведомление судовладельцев;Информирование судовладельца о принятом решении;Не потребует выделения финансовых средств из федерального бюджета, не предполагает увеличения численности, не потребует дополнительных расходов из федерального бюджета и изменения порядка финансирования федеральных органов исполнительной власти;Федеральное агентство морского и речного транспорта
109887;В рамках существующих полномочий;Полномочия, связанные с реализацией проекта приказа, будут осуществляться Роснедрами и его территориальными органами в пределах установленных Правительством Российской Федерации численности и фонда оплаты труда;Дополнительных трудозатрат не потребуется;Роснедра и его территориальные органы
109902;(N.1);-;-;(Орган N)
109902;(N.K);-;-;(Орган N)
109935;Введение новых или изменение существующих функций, полномочий, обязанностей не предусмотрено;Не требуется;Не требуется;-
109984;Минздрав России	;отсутствует	;изменения трудозатрат и (или) потребностей в иных ресурсах не требуется в связи с тем, что изменения, предусмотренные проектом постановления, не потребуют дополнительных ресурсов ;-
110005;отсутствуют;-;нет данных;Минтранс России
110006;Отсутствуют;-;-;Минтранс России
110007;Отсутствует;Отсутствует;Отсутствует;Отсутствует
110010;-;-;-;-
110015;-;-;-;Минпромторг России
110020;Федеральный орган регулирования тарифов устанавливает тарифы для федерального оператора. Органами регулирования тарифов субъектов Российской Федерации устанавливаются тарифы для операторов.;Устанавливается проектом постановления;-;"Федеральный орган исполнительной власти, уполномоченный в области государственного регулирования тарифов на услуги по обращению 
с отходами I и II классов опасности, органы исполнительной власти субъектов Российской Федерации в области государственного регулирования тарифов на услуги по обращению с отходами I и II классов опасности
"
