regulation_project_id;Группа участников отношений;Описание новых или изменения содержания существующих обязанностей и ограничений;Описание и оценка видов расходов (доходов)
105715;-;-; 
105717;-;-; 
105719;-;-; 
105732;(Группа участников отношений N);(N.1);(N.K)
105737;Производители компрессорного оборудования;Корректировка требований, содержащихся в приложении к постановлению Правительства № 719, а также необходимость учета утверждаемых требований к промышленной продукции, предъявляемых в целях ее отнесения к продукции, произведенной на территории Российской Федерации;0,00р.
105749;Субъекты ТЭК, Росгвардия;реализация Росгвардией полномочий в установленных зонах безопасности; 
105763;Лица осуществляющие леса для ведения сельского хозяйства, в том числе товарной аквакультуры (товарного рыбоводства);Новых обязанностей и ограничений не предусмотрено;0,00р.
105812;Субъекты электроэнергетики, органы исполнительной власти субъектов Российской Федерации в области государственного регулирования цен (тарифов), высшие должностные лица субъектов Российской Федерации (руководители высших исполнительных органов государственной власти субъектов Российской Федерации);Отсутствует; 
105823;Юридические лица, индивидуальные предприниматели, которым будут предоставлены инвестиционные квоты для осуществления промышленного и (или) прибрежного рыболовства.;Проект постановления не предусматривает новых или изменения содержания существующих обязанностей и ограничений ; 
105827;Организации, эксплуатирующие опасные производственные объекты   ;Новые обязанности, ограничения не вводятся; 
105827;Собственники гидротехнических сооружений и организации, эксплуатирующие гидротехнические сооружения (за исключением судоходных и портовых гидротехнических сооружений);Новые обязанности, ограничения не вводятся; 
105827;Страховые организации, с которыми заключен договор обязательного страхования гражданской ответственности в соответствии с законодательством Российской Федерации об обязательном страховании гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте;Новые обязанности, ограничения не вводятся; 
105828;Организации, осуществляющие разработку проектной документации;Новые обязанности, ограничения не вводятся; 
105828;Эксплуатанты опасных производственных объектов I и II классов опасности, на которых получаются, используются, перерабатываются, образуются, хранятся, транспортируются, уничтожаются опасные вещества;Новые обязанности, ограничения не вводятся; 
105837;-;-; 
105848;-;-; 
105865;Граждане и оргазизации в сфере обращения лекарственных средств;Отсутствуют; 
105866;Производители блоков осушки и подготовки газа;Корректировка требований, содержащихся в приложении к постановлению Правительства Российской Федерации от 17 июля 2015 г. № 719, а также необходимость учета утверждаемых требований к промышленной продукции, предъявляемых в целях ее отнесения к продукции, произведенной на территории Российской Федерации;0,00р.
105879;Операторы связи;Отсутствуют; 
105886;Субъекты электроэнергетики, органы исполнительной власти субъектов Российской Федерации в области государственного регулирования цен (тарифов), высшие должностные лица субъектов Российской Федерации (руководители высших исполнительных органов государственной власти субъектов Российской Федерации);Отсутствует; 
105889;Сетевые организации, гарантирующие поставщики, потребители электрической энергии;Изменение существующей процедуры технологического присоединения энергопринимающих устройств к электрическим сетям, в том числе в части порядка заключения договоров энергоснабжения (купли-продажи (поставки) электрической энергии (мощности)); 
105920;-;-; 
105922;Отсутствуют.;Отсутствуют.; 
105929;"Образовательные организации высшего образования 

Лица, поступающие на обучение по программам бакалавриата, программам специалитета, программам магистратуры
";"Отсутствуют

Отсутствуют"; 
105933;Юридические лица или индивидуальные предприниматели, осуществляющие перевозку  скоропортящихся пищевых продуктов автомобильным транспортом.;нет; 
105939;Нет;Нет; 
105947;-;-; 
105952;отсутствуют;отсутствуют; 
105960;сетевые организации, заявители (потребители электрической энергии);"сокращение срока осуществления мероприятий по технологическому присоединению в рамках заключаемых между сетевыми организациями и заявителями договоров об осуществлении технологического присоединения энергопринимающих устройств
"; 
105966;-;-; 
105980;нет;нет; 
105985;отсутствует.;новые преимущества, обязанности, ограничения или изменения содержания существующих обязанностей и ограничений отсутствуют.; 
105995;нет;нет; 
105999;Лица, осуществляющие розничную продажу алкогольной продукции, в том числе при оказании услуг общественного питания;"1.	Представление информации о заказчике выездного обслуживания
2.	Направление уведомления в электронном виде по телекоммуникационным
"; 
106009;1. Росалкогольрегулирование                                                     2. Организации, осуществляющие производство этилового спирта или алкогольной продукции с использованием этилового спирта;отсутствует; 
106010;информация уточняется;информация уточняется; 
106011;-;-; 
106012;(Группа участников отношений N);(N.1);(N.K)
106013;Государственные органы Российской Федерации в области федерального и регионального государственного ветеринарного надзора, представители предпринимательства в области разведения, выращивания животных, владельцы животных, ветеринарные лаборатории, владельцы личных подсобных и крестьянских (фермерских) хозяйств, физические и юридические лица.;Новых преимуществ, а также обязанностей или ограничений не предусмотрено.;0,00р.
106021;информация уточняется;информация уточняется; 
106036;-;(N.1);(N.K)
106043;(Группа участников отношений N);(N.1);(N.K)
106045;Юридические лица, индивидуальные предприниматели, осуществляющие деятельность, связанную с обращением взрывчатых материалов промышленного назначения;Не изменяются; 
106046;Юридические лица и индивидуальные предприниматели, осуществляющие эксплуатацию транспортных средств;Дополнительное указание в путевых листах информации о видах перевозок и видах сообщения; 
106050;Отсутствует;Отсутствует; 
106053;-;-; 
106056;Лица, использующие леса в соответствии со статьями 43 - 46 Лесного кодекса Российской Федерации;в 2021 - 300 тыс. га * 10 422,05 руб./га = 3 126 615,0 тыс. рублей, в 2022 — 600 тыс. га * 10 422,05 руб./га = 6 253 230,0 тыс. рублей, в 2023 и последующих годах - 750 тыс. га * 10 422,05 руб./га = 7 816 537,5 тыс. рублей; 
106058;Организации, индивидуальные предприниматели, сельскохозяйственные товаропроизводители, осуществляющие производство и (или) оборот этилового спирта, алкогольной и спиртосодержащей продукции;Изменения содержания существующих обязанностей и ограничений не предусматривается; 
106060;Отсутсвует;Отсутствуют; 
106062;Производители и импортеры маркируемой алкогольной продукции;предусматривается изменение цены ФСМ; 
106065;-;-; 
106066;-;-; 
106070;-;-; 
106071;-;-; 
106072;Отсутствует;Отсутствует; 
106074;"Работодатели - юридические и физические лица независимо от их организационно-правовых форм и форм собственности, организующие выполнение электросварочных и газосварочных работ; работники, выполняющие электросварочные и газосварочные работы";Новые обязанности  не вводятся, оптимизируются и уточняются существующие требования.; 
106076;Юридические лица и индивидуальные предприниматели, осуществляющие пользование недрами на объектах ведения горных работ открытым способом;Не изменяются; 
106077;Хозяйствующие субъекты (юридические лица и индивидуальные предприниматели), деятельность которых связана с оказанием услуг общественного питания потребителям;Отсутствуют; 
106080;1. Росалкогольрегулирование                                                           2. Лица, осуществляющие производство этилового спирта и алкогольной продукции с использованием этилового спирта                                                                                        ;дополнительные обязанности и ограничения не предусмотрены; 
106082;Отсутствует;Отсутствуют; 
106083;-;-; 
106093;1. Росалкогольрегулирование                                                     2. Организации, осуществляющие розничную продажу алкогольной продукции при оказании услуг общественного питания в условиях выездного обслуживания;отсутствует; 
106107;Хозяйствующие субъекты (юридические лица и индивидуальные предприниматели), деятельность которых связана с выполнением работ (оказанием услуг) потребителям по возмездному договору;Отсутствуют; 
106108;-;-; 
106114; организации финансового рынка;определение порядка выявления выгодоприобретателей по договора, в рамках которых осуществляются аннуитетные платежи, а также по договорам добровольного страхования жизни; 
106114;организации финансового рынка;установление порядка представления информации в случаем смерти клиента (выгодоприобретателя); 
106116;"Оператор универсального обслуживания; операторы связи, сети связи которых будут присоединены к точкам доступа оператора универсального обслуживания; пользователи универсальных услуг связи в населенных пунктах от 100 до 500 человек; Минкомсвязь России, Россвязь.";Новые обязанности или ограничения на субъектов предпринимательской или иной экономической деятельности не возлагаются.; 
106120;"Оператор универсального обслуживания; операторы связи, сети связи которых будут присоединены к точкам доступа оператора универсального обслуживания; пользователи универсальных услуг связи в населенных пунктах от 100 до 500 человек; Минкомсвязь России, Россвязь";Новые обязанности или ограничения на субъектов предпринимательской или иной экономической деятельности не возлагаются; 
106123;-;-; 
106124;-;-; 
106132;клиент организации финансового рынка;внедрение штрафных санкций в случае непредставление клиентом организации финансового рынка по запросу организации финансового рынка финансовой информации о себе, своих выгодоприобретателях и (или) лицах, их контролирующих, представление клиентом организации финансового рынка по запросу организации финансового рынка недостоверной или неполной финансовой информации о себе, своих выгодоприобретателях и (или) лицах, их контролирующих; 
106132;организации финансового рынка;внедрение штрафных санкций  в случае не направление (невключение) организацией финансового рынка финансовой информации о клиентах организации финансового рынка, выгодоприобретателях и (или) лицах, их контролирующих, представление организацией финансового рынка недостоверной или неполной финансовой информации о клиентах организации финансового рынка, выгодоприобретателях и (или) лицах, их контролирующих; 
106140;-;-; 
106152;-;-; 
106155;-; ; 
106156;юридические лица, налоговые органы;"Внесение изменений в поря-док принятия решений о при-знании безнадежной к взысканию и списанию задолженности по платежам в в бюджеты бюджетной системы Российской Федерации
в соответствии с Бюджетным кодекса Российской Федерации, постановлением Правительства Российской Федерации от 02.07.2020 № 975 «О внесении изменений в общие требования к порядку принятия решений о признании без-надежной к взысканию задолженности по платежам в бюджеты бюджетной системы Российской Федерации»"; 
106161;-;-; 
106167;Информация отсутствует;Информация отсутствует; 
106174;Информация отсутствует;Информация отсутствует; 
106177;Информация отсутствует;Информация отсутствует; 
106180;Капитаны судов, лоцмана;-; 
106182;Информация отсутствует;Информация отсутствует; 
106184;Информация отсутствует;Информация отсутствует; 
106185;Информация отсутствует;Информация отсутствует; 
106186;отсутствуют;отсутствуют; 
106189;Информация отсутствует;Информация отсутствует; 
106191;Физические лица, управляющие организации, ресурсоснабжающие организации, органы государственной власти субъектов Российской Федерации, органы местного самоуправления;Указаны в проекте акта; 
106194;Росрыболовство;Проектом постановления  не предусматривается введение  новых обязанностей, ограничений или изменения содержания существующих обязанностей и ограничений, предалагаемое регулирование уже осуществляется в рамках Федерального закона от 20 декабря 2004 г. № 166-ФЗ «О рыболовстве и сохранении водных биологических ресурсов»; 
106194;"ыбохозяйственные организации, подавшие заявления с прилагаемыми к ним инвестиционными проектами по строительству судов рыбопромыслового флота (объектов типа Ф), прошедшие конкурентную процедуру, заключившие договоры, предусмотренные статьей 33.7 Федерального закона от 20 декабря 2004 г. № 166-ФЗ ""О рыболовстве и сохранении водных биологических ресурсов"" и реализовавшие указанные объекты.";Увеличение объемов предоставляемых квот добычи (вылова) при реализации инвестиционных проектов по строительству среднетоннажного рыбопромыслового судна типа Ф; 
106202;федеральные учреждения медико-социальной экспертизы;Критерии определения степени утраты профессиональной трудоспособности в результате несчастных случаев на производстве и профессиональных заболеваний; 
106204;Информация отсутствует;Информация отсутствует; 
106208;Адвокаты, нотариусы и лица, осуществляющие предпринимательскую деятельность в сфере оказания юридических или бухгалтерских услуг;"уточнение перечня идентификационной информации в отношении иностранной структуры без образования юридического лица, которую необходимо устанавливать при приеме на обслуживание и обслуживании клиента;
выполнение требований по идентификации клиента, представителя клиента, выгодоприобретателя и бенефициарного владельца, а также иных требований законодательства о ПОД/ФТ при подготовке и осуществлении от имени или по поручению своего клиента операций с денежными средствами при создании и купле-продаже иностранных структур;";0,00р.
106208;Организации, осуществляющие операции с денежными средствами или иным имуществом;уточнение перечня идентификационной информации в отношении иностранной структуры без образования юридического лица, которую необходимо устанавливать при приеме на обслуживание и обслуживании клиента;0,00р.
106208;доверительные собственники (управляющие) иностранной структуры без образования юридического лица;"обязанность по проведению идентификации клиентов и исполнение иных обязанностей, установленных пунктом 1 статьи 7.1 Федерального закона № 115-ФЗ;
обязанность представлять информацию о своем статусе при установлении клиентских отношений с организациями, осуществляющими операции с денежными средствами или иным имуществом ";0,00р.
106223;В соответствии с указанным проектом постановления Правительства Российской Федерации;Внедрение в акцизные марки RFID-меток; 
106224;Юридические лица и индивидуальные предприниматели планирующие осуществлять деятельность в области обращения с отходами производства и потребления;Сокращен срок информирования хозяйствующих субъектов о результатах рассмотрения   их материалов, указанных в пункте 5 Порядка, территориальными органами Росприроднадзора до 45 дней; 
106233;Компании-недропользователи;Возможность добычи полезных ископаемых, не относящихся к углеводородному сырью, из подземных вод, извлекаемых при разработке нефтегазовых месторождений, а также возможность размещения в пластах горных пород попутных вод, вод, использованных пользователями недр для собственных производственных и технологических нужд при разработке технологий геологического изучения, разведки и добычи трудноизвлекаемых полезных ископаемых или по совмещенной лицензии разработке технологий геологического изучения, разведки и добычи трудноизвлекаемых полезных ископаемых, разведке и добыче таких полезных ископаемых; 
106235;"1. Росалкогольрегулирование;                                                          2. Производители этилового спирта из пищевого сырья; 3.Производители крепкой алкогольной продукции";дополнительные обязанности и ограничения не предусмотрены; 
106237;"1. Росалкогольрегулирование;                                                          2.Производители крепкой алкогольной продукции; 3. Лица, осуществляющие оптовую торговлю; 4. Лица, осуществляющие розничную торговлю   ";дополнительные обязанности и ограничения не предусмотрены; 
106243;Информация отсутствует;Информация отсутствует; 
106244;Собственники объектов размещения отходов, а также лица, во владении или в пользовании которых находятся объекты размещения отходов;Отсутствуют ; 
106257;Компании-недропользователи;"Корректировка определения ""рентабельный срок разработки месторождения"" при рентабельности осуществления инвестиционных мероприятий по разработке месторождения и добыче углеводородного сырья"; 
106265;-;-; 
106282;Расходы и доходы субъектов предпринимательской и иной экономической деятельности не предусматриваются.;Нет; 
106288;Производители криогенного воздухоразделительного оборудования;Корректировка требований, содержащихся в приложении к постановлению Правительства Российской Федерации от 17 июля 2015 г. № 719, а также необходимость учета утверждаемых требований к промышленной продукции предъявляемых в целях ее отнесения к продукции, произведенной на территории Российской Федерации;0,00р.
106292;Информация отсутствует;Информация отсутствует; 
106295;Биржи;Обязанность по ведению реестра внебиржевых сделок в отношении битума нефтяного, цемента, сахара, минеральных удобрений, лесоматериалов круглых, пшеницы 1-го, 2-го, и 5-го классов, мелкооптовых нефтепродуктов, пшеницы 1-го, 2-го, 3-го, 4-го и 5-го классов, реализуемой на экспорт;0,00р.
106295;Биржи;Предоставление сведений из реестра по запросу Банка России;0,00р.
106295;Биржи;Расчет внебиржевых индикаторов;0,00р.
106295;Лица, осуществившие отчуждение биржевого товара на внебиржевом рынке;Обязанность по предоставлению на биржу информации об осуществленных внебиржевых сделках в отношении битума нефтяного, цемента, сахара, минеральных удобрений, лесоматериалов круглых, пшеницы 1-го, 2-го, и 5-го классов, мелкооптовых нефтепродуктов, пшеницы 1-го, 2-го, 3-го, 4-го и 5-го классов, реализуемой на экспорт;0,00р.
106295;Лица, осуществившие отчуждение биржевого товара на внебиржевом рынке;Обязанность предоставления расширенного перечня сведений в отношении внебиржевых договоров;0,00р.
106303;-;--; 
106305;Субъекты обращения лекарственных средств ;Предоставление государственной услуги  в электронном виде; 
106322;Иностранные средства массовой информации, выполняющее функции иностранного агента, физические лица, российские юридические лица, выполняющее функции иностранного агента, включенные в реестр иностранных средств массовой информации, выполняющих функции иностранного агента ;Необходимость размещения в установленной форме и порядке указания на то, что сообщения и материалы созданы и (или) распространены иностранным средством массовой информации, выполняющим функции иностранного агента, и (или) российским юридическим лицом, выполняющим функции иностранного агента;0,00р.
106328;отсутствуют;отсутствуют; 
106343;Информация отсутствует;Информация отсутствует; 
106345;Компании-недропользователи;Установление единых требований к разработке месторождений питьевых, технических, минеральных, теплоэнергетических и промышленных подземных вод, расположенных на территории Российской Федерации, предназначенных для использования субъектами предпринимательского сообщества; 
106346;Владельцы животных;Осуществление маркирования животных; 
106356;Отсутствуют ;Отсутствуют ; 
106361;"1. Росалкогольрегулирование;                                                          2. Производители этилового спирта, произведенного из непищевого
сырья, и денатурированного этилового спирта, произведенного из пищевого и непищевого сырья; 3. Лица, осуществляющие закупку этилового спирта, произведенного из непищевого
сырья, и денатурированного этилового спирта, произведенного из ";дополнительные обязанности и ограничения не предусмотрены; 
106363;нет;нет; 
106369;Информация отсутствует;Информация отсутствует; 
106372;Производители КриоАЗС и ключевого технологического оборудования для КриоАЗС;Дополнение требований в приложении к постановлению Пра-вительства Российской Федерации от 17 июля 2015 г. № 719 КриоАЗС и ключевым технологическим оборудованием для КриоАЗС, а также необходимость учета утверждаемых требований к промышленной продукции, предъявляемых в целях ее отнесения к продукции, произведенной на территории Российской Федерации;0,00р.
106380;информация отсутствует;информация отсутствует; 
106382;органы государственной власти, органы местного самоуправления, юридические лица, физические лица;Указаны в проекте акта; 
106397;Субъекты обращения лекарственных средств, осуществляющие оптовую и розничную торговлю лекарственными препаратами, в том числе держатели или владельцы регистрационных удостоверений лекарственных препаратов, производители лекарственных средств, организации оптовой торговли лекарственными препаратами, аптечные организации;Проект постановления не устанавливает новые или изменяется содержание существующих обязанностей и ограничений; 
106400;Субъекты транспортной инфраструктуры и перевозчики ;"проведение обследование объекта транспортной инфраструктуры;
разработка и утверждение паспорта обеспечения транспортной безопасности объекта транспортной инфраструктуры;
- особенности привлечения подраздления транспортной безопасности в случае если на объекте транспортной инфраструктуры осуществляется посадка (высадка) пассажиров, перевозка которых осуществляется перевозчиками иностранных государств, выполняющих автомобильные перевозки из пункта отправления в пункт назначения, расположенные                       на территории Российской Федерации, перевозки в Российскую Федерацию,              из Российской Федерации, через Российскую Федерации.
"; 
106407;Экспортеры ИТ продукции и образовательных услуг;"Для средних и крупных компаний, в особенности для компаний в сфере информационных технологий, отсутствие возможности зачета встречных требований приводит к дополнительным финансовым издержкам.
Компании вынуждены оформлять документацию для уполномоченных банков для зачисления иностранной валюты или валюты Российской Федерации на счет, после чего проводить операции по перечислению денежных средств, в результате которых денежные активы выводятся из оборота на несколько дней, которые требуются для проведения банковской операции. Помимо этого, такие операции облагаются банковской комиссией за каждую операцию, что приводит к дополнительным финансовым затратам."; 
106408;"1. Росалкогольрегулирование;                                                          2. Производители игристого вина (шампанского) 3. Оптовое звено; 4. Розничное звено";дополнительные обязанности и ограничения не предусмотрены; 
106409;Субъекты транспортной инфраструктуры и перевозчики ;"проведение обследования объекта транспортной инфраструктуры;
разработка и утверждение паспорта обеспечения транспортной безопасности объекта транспортной инфраструктуры;"; 
106413;Юридические лица вне зависимости от их организационно-правовых форм и индивидуальные предприниматели, которые осуществляют эксплуатацию опасных производственных объектов на праве собственности или ином законном основании;Не изменяются.; 
106436;Органы и организации государственной, муниципальной и частной систем здравоохранения (медицинские организации (санаторно-курортные организации));Обязательность размещения сведений в государственном реестре курортного фонда Российской Федерации; 
106471;-;-; 
106476;Юридические лица и индивидуальные предприниматели намеревающиеся выполнять авиационные работы;Упрощение процедуры получения сертификата эксплуатанта на выполнение авиационных работ;0,00р.
106477;-;-; 
106481;-;-; 
106484;1 субъекты обращения медицинских изделий;Новых или изменения содержания существующих обязанностей и ограничений не предусматривается; 
106488;Компании-недропользователи;Наличие единообразных методических подходов по разработке технологий геологического изучения, разведки и добычи трудноизвлекаемых полезных ископаемых, а также обязательности применения недропользователями единых требований по разработке технологий геологического изучения, разведки и добычи трудноизвлекаемых полезных ископаемых; 
106491;Компании-недропользователи;Наличие единообразных методических подходов  по подготовке технических проектов разработки технологий геологического изучения, разведки и добычи трудноизвлекаемых полезных ископаемых, а также обязательности применения недропользователями единых требований по подготовке технических проектов разработки технологий геологического изучения, разведки и добычи трудноизвлекаемых полезных ископаемых; 
106507;Компании-недропользователи;Беспрепятственная возможность заключения договоров аренды лесных участков с пользователями недр, реализующими права на строительство, реконструкцию и эксплуатацию объектов капитального строительства, связанных с выполнением работ по геологическому изучению и разработкой месторождений углеводородного сырья, в ценных лесах и на особо защитных участках лесов по лицензиям на пользование недрами, полученным до 31.12.2010, но переоформленным или продленным в установленном законодательством о недрах порядке; 
106519;Субъекты обращения медицинских изделий;Новых или изменения содержания существующих обязанностей и ограничений не предусматривается; 
106522;Юридические лица или индивидуальные предприниматели, обратившиеся в лицензирующий орган с заявлением о предоставлении лицензии либо имеющие лицензию;"Для соискателя лицензии и лицензиата необходимость соответствия лицензионными требованиями при осуществлении деятельности 
по производству и техническому обслуживанию медицинской техники
"; 
