regulation_project_id;Наименование новой или изменяемой функции, полномочия, обязанности или права;Наименование органа;Единовременные расходы в год возникновения;Периодические расходы за период;Возможные поступления за период
112020;Отсутствует;Принятие приказа не приведет к возникновению дополнительных расходов бюджетов бюджетной системы Российской Федерации;Проектом приказа не вводятся новые расходные обязательства;Проектом приказа не вводятся новые расходные обязательства;Проектом акта не вводятся новые поступления
112021;Нет;МЧС России и его территориальные органы;дополнительных расходов не ожидается;дополнительных расходов не ожидается;не предполагаются
112025;Нет;МЧС России и его территориальные органы;дополнительных расходов не ожидается;дополнительных расходов не ожидается;не предполагаются
112032;Отсутствует;МЧС России и его территориальные органы;не ожидается;не ожидается;не предполагается
112035;Отсутствует;МЧС России и его территориальные органы;дополнительных расходов не ожидается;дополнительных расходов не ожидается;Не предполагаются
112037;Отсутствует;МЧС России и его территориальные органы;дополнительных расходов не ожидается;дополнительных расходов не ожидается;не предполагаются
112038;Отсутствует;МЧС России и его территориальные органы;дополнительных расходов не ожидается;дополнительных расходов не ожидается;Не предполагаются
112047;Россельхознадзор;-;-;-;-
112048;-;-;--;-;-
112053;Разработка к началу пожароопасного сезона паспортов территорий ведения гражданами садоводства или огородничества для собственных нужд и организаций отдыха детей и их оздоровления, подверженных угрозе лесных пожаров.;Органы государственной власти субъектов Российской Федерации, органы местного самоуправления, правообладатели земельных участков, граничащих с лесными участками и подверженных угрозе лесных пожаров и других ландшафтных (природных) пожаров.;дополнительных расходов не ожидается;дополнительных расходов не ожидается;дополнительных расходов не ожидается
112054;"1. Органы государственной  власти (государственные учреждения, в том числе казенные, бюджетные или автономными), органы местного самоуправления (муниципальные учреждения, в том числе казенные, бюджетные или автономные)
2. Исполнительные органы государственной власти (государственные учреждения, в том числе казенные, бюджетные или автономные) или органы местного самоуправления (муниципальные учреждения, в том числе казенные, бюджетные или автономные)";Принятие проекта федерального закона не предполагает увеличения численности, не потребует дополнительных расходов из федерального бюджета и изменения порядка финансирования федеральных органов исполнительной власти.;Не ожидается;Не ожидается;Не ожидается 
112076;Информация отсутствует.;Информация отсутствует.;Информация отсутствует.;Информация отсутствует.;Информация отсутствует.
112081;нет;ФТС России;нет;нет;нет
112095;Нет;Отсутствует;Не предусмотрено;Не предусмотрено;Не предусмотрено
112102;Отсутствуют; ;Отсутствуют;Отсутствуют;Отсутствуют
112107;Отсутствует;Отсутствует;Отсутствуют;Отсутствуют;Отсутствуют
112129;-;Утверждение проекта акта не повлечет за собой увеличение штатной численности федеральных государственных служащих, а также изменений финансовых обязательств государства и не потребует дополнительных расходов, покрываемых за счет средств федерального бюджета.;В рамках текущего финансирования;-;-
112139;-;не влияет на расходы (возможные поступления) бюджетов бюджетной системы Российской Федерации;-;-;-
112139;Введение новых или изменение существующих функций, полномочий, обязанностей не предусмотрено;отсутствует;не предусматриваются;не предусматриваются;не предусматриваются
112139;В дополнение к существующим функциям по сбору отчетов об охране лесов от пожаров и защите лесов, появляется функция по сбору отчетов об охране лесов от загрязнения и иного негативного воздействия.;Органы государственной власти, органы местного самоуправления в пределах их полномочий, определенных в соответствии со статьями 81 – 84 Лесного кодекса Российской Федерации.;0;0;0
112162;Отсутствуют;Минсельхоз России;Отсутствуют;Отсутствуют;Потери в пределах установленных норм естественной убыли учитываются в составе материальных расходов в целях налогообложения прибыли и уменьшают сумму налога, исчисляемую для уплаты в бюджет.
112172;отсутствует;отсутствует;0;0;0
112173;отсутствует;отсутствует;0;0;0
112177;Отсутствует ;Отсутствует;Отсутствуют;Отсутствуют;Отсутствуют
112202;Информация отсутствует ;Информация отсутствует;Не предполагаются  расходы бюджета бюджетной систмы Российской Федерациине ;Не предполагаются  расходы бюджета бюджетной систмы Российской Федерациине ;Не предполагаются  расходы бюджета бюджетной систмы Российской Федерациине 
112235;-;-;-;-;-
112238;нет;ФТС РОССИИ;нет;нет;нет
112239;-;--;-;-;-
112245;-;-;-;-;-
112247;-;-;-;-;-
112249;-;-;-;-;-
112250;-;-;-;-;-
112263;Отсутствуют.;Не предусмотрено.;Отсутствуют.;Отсутствуют.;Отсутствуют.
112264;-;-;-;-;-
112266;-;Введение новых функций, полномочий, обязанностей или прав для органа не предусматривается.;0;0;0
112271;продление срока подачи декларации на товары в отношении последнего компонента товара в комплектном или завершенном виде;ФТС России;не предусмотрено;не предусмотрено;не предусмотрено
112291;-;-;-;-;-
112300;Не производились;Не производилась;Не производились;Не производились;Не производились
112303;Отсутствует;Отсутствует;68 180,0 тыс. руб. на 2021 г.;"67 130,0 тыс. руб.на 2022 г., 
67 340,0 тыс. руб. на 2023 г";Отсутствует
112317;Отсутствует ;Отсутствует;Отсутствует ;Отсутствует;Отсутствует
112322;Информация уточняется;Реализация положений проекта постановления не повлечет увеличение расходов (возможных поступлений) федерального бюджета и расходов (возможных поступлений) иных бюджетов бюджетной системы Российской Федерации.;Отсутствуют;Отсутствуют;Отсутствуют
112344;Дополнительных расходов не потребуется;Органы исполнительной власти субъектов Российской Федерации в области государственного регулирования тарифов;Дополнительных расходов не потребуется;Дополнительных расходов не потребуется;Дополнительных расходов не потребуется
112358;Отсутствует.;-;отсутствуют.;отсутствуют.;отсутствуют.
112361;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует
112365;нет;нет;-;-;-
112375;--;-;-;-;-
112378;-;-;-;-;-
112379;(№.K);-;=;=;=
112404;(№.K);-;-;-;-
112405;нет;нет;-;-;-
112412;(N.K)  ;(Орган N) Проект нормативного правового акта не предусматривает дополнительных расходов бюджетов бюджетной системы Российской Федерации.;отсутствуют;отсутствуют;отсутствуют
112418;-;-;-;-;-
112420;(№.K);-;-;-;-
112429;не имеется;не имеется;не имеется;не имеется;не имеется
112433;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
112442;отсутствует;Росрыьболовство его территориальные органы;дополнительных расходов не ожидается;дополнительных расходов не ожидается;дополнительных расходов не ожидается
112453;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
112457;-;-;-;-;-
112460;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует
112461;отсутствуют;(Орган N);отсутствуют;отсутствуют;отсутствуют
112471;отсутствует;Принятие Типовых норм не приведет к возникновению дополнительных расходов бюджетов бюджетной системы Российской Федерации;Проектом акта не вводятся новые расходные обязательства;Проектом акта не вводятся новые расходные обязательства;Проектом акта не вводятся новые расходные обязательства
112472;Наделение должностных лиц органов, уполномоченных в области лесных отношений, и подведомственных им государственных учреждений полномочиями по проведению административного обследования лесов.;Органы, уполномоченные в области лесных отношений, и подведомственные им государственные учреждения.;Отсутствуют.;Отсутствуют.;Отсутствуют.
112483;отсутствует;Принятие нового Порядка разработки, утверждения и изменения нормативных правовых актов, содержащих государственные нормативные требования охраны труда не приведет к возникновению дополнительных расходов бюджетов бюджетной системы Российской Федерации;Проектом акта не вводятся новые расходные обязательства;Проектом акта не вводятся новые расходные обязательства;Проектом акта не вводятся новые поступления
112493;Отсутствует;-;Отсутствуют;Отсутствуют;Отсутствуют
112509;Дополнительные полномочия по осуществлению федерального государственного лесного надзора;Федеральный орган исполнительной власти, уполномоченный в области лесных отношений - Рослесхоз;19,69 млн рублей;33,2 млн рублей;Нет.
112512;-;-;-;-;-
112513;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
112515;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
112517;отсутствует;Принятие предельно допустимых норм нагрузок для женщин при подъеме и перемещении тяжестей вручную не приведет к возникновению дополнительных расходов бюджетов бюджетной системы Российской Федерации;Проектом акта не вводятся новые расходные обязательства;Проектом акта не вводятся новые расходные обязательства;Проектом акта не вводятся новые поступления
112518;Проект постановления Правительства Российской Федерации «Об утверждении Правил оказания услуг по перевозкам на железнодорожном транспорте пассажиров, а также грузов, багажа и грузобагажа для личных, семейных, домашних и иных нужд, не связанных с осуществлением предпринимательской деятельности» не потребуют дополнительных расходов из средств федерального бюджета и бюджетов субъектов Российской Федерации.; ; ; ; 
112538;отсутствует;Принятие Примерного перечня ежегодно реализуемых работодателем мероприятий по улучшению условий и охраны труда и снижению уровней профессиональных рисков не приведет к возникновению дополнительных расходов бюджетов бюджетной системы Российской Федерации;Проектом акта не вводятся новые расходные обязательства;Проектом акта не вводятся новые расходные обязательства;Проектом акта не вводятся новые поступления
112541;отсутствует;Принятие проекта акта не приведет к возникновению дополнительных расходов бюджетов бюджетной системы Российской Федерации;Проектом акта не вводятся новые расходные обязательства;Проектом акта не вводятся новые расходные обязательства;Проектом акта не вводятся новые поступления
112543;Принятие решений по утверждению схем теплоснабжения поселений, городских, муниципальных округов с численностью населения менее чем пятьсот тысяч человек;органы государственной власти субъектов Российской Федерации;0;0;0
112554;отсутствует;Принятие Правил не приведет к возникновению дополнительных расходов бюджетов бюджетной системы Российской Федерации;Проектом акта не вводятся новые расходные обязательства;Проектом акта не вводятся новые расходные обязательства;Проектом акта не вводятся новые расходные обязательства
112556;отсутствует;Принятие акта не приведет к возникновению дополнительных расходов бюджетов бюджетной системы Российской Федерации;Проектом акта не вводятся новые расходные обязательства;Проектом акта не вводятся новые расходные обязательства;Проектом акта не вводятся новые расходные обязательства
112563;отсутствует ;отсутствует;отсутствуют ;отсутствуют ;отсутствуют 
112568;нет;нет;нет;нет;нет
112576;(N.K);(Орган N);-;-;-
112577;Проект приказа не устанавливает новые и не изменяет существующие функции, полномочия, обязанности или права. Полномочия осуществляются в соответствии с действующим законодательством Российской Федерации в области рыболовства и сохранения водных биологических ресурсов;Росрыболовство;Полномочия будут осуществляться в рамках федерального бюджета в части финансового обеспечения деятельности Росрыболовства по осуществлению полномочий, предусмотренных Положением о Федеральном агентстве по рыболовству, утвержденным постановлением Правительства Российской Федерации от 11 июня 2008 г. № 444;Полномочия будут осуществляться в рамках федерального бюджета в части финансового обеспечения деятельности Росрыболовства по осуществлению полномочий, предусмотренных Положением о Федеральном агентстве по рыболовству, утвержденным постановлением Правительства Российской Федерации от 11 июня 2008 г. № 444;Полномочия будут осуществляться в рамках федерального бюджета в части финансового обеспечения деятельности Росрыболовства по осуществлению полномочий, предусмотренных Положением о Федеральном агентстве по рыболовству, утвержденным постановлением Правительства Российской Федерации от 11 июня 2008 г. № 444
112579;Проверка наличия маркировки или охранной маркировки на музыкальных инструментах или смычках;Министерство культуры Российской Федерации;отсутствуют;отсутствуют;отсутствуют
112595;Федеральное агентство связи. Начиная с 1 марта 2021 г. Минцифры России.;Организация обязательного подтверждения соответствия средств связи, используемых в сети связи общего пользования, а также в технологических сетях связи и сетях связи специального назначения в случае их присоединения к сети связи общего пользования, ранее установленные Правилами, утвержденными постановлением Правительства Российской Федерации от 13 апреля 2005 г. № 214, включая дополнительные требования к порядку реализации мероприятий по государственной услуге «Регистрация сертификатов соответствия в реестре сертификатов соответствия средств связи» и проведение работ по модернизации Информационной системы Минцифры России.;41634,6 тыс. рублей;Нет.;Нет.
112602;"1. Применительно к подпункту «в» пункта 9 статьи 1 законопроекта:
 Законопроектом предусматривается, что если в течение годичного срока участник или участники долевой собственности не произвели отчуждение принадлежащей им земельной доли (земельных долей), то орган государственной власти субъекта Российской Федерации в течение месяца со дня, когда ему стало известно об этом, обязан обратиться в суд с заявлением о принудительной продаже либо передаче в государственную или муниципальную собственность земельной доли или земельных долей (далее – земельная доля).  Затраты на отчуждение земельной доли вычитаются из вырученной на торгах суммы либо из стоимости земельной доли, определяемой судом, при передаче ее в государственную или муниципальную собственность.
При вынесении судом решения о принудительной продаже земельной доли, такая земельная доля подлежит продаже органом исполнительной власти субъекта Российской Федерации на торгах, организованных им посредством публичного предложения в порядке, предусмотренном законом об обороте.
Если земельная доля не продана на торгах посредством публичного предложения, в течение пятнадцати дней со дня признания данных торгов несостоявшимися такая земельная доля может быть приобретена в муниципальную собственность поселения или городского округа, муниципального округа, на территории которого он расположен, по минимальной цене торгов в форме публичного предложения. При этом, если такая земельная доля не приобретена в муниципальную собственность в указанный срок, орган исполнительной власти субъекта Российской Федерации в течение пятнадцати дней с даты истечения срока, в течение которого земельная доля может быть приобретена в муниципальную собственность, обязан приобрести такую земельную долю в государственную собственность по минимальной цене торгов в форме публичного предложения.
2. Установление обязанности субъектов Российской Федерации по утверждению перечня ценных и особо ценных земель сельскохозяйственного назначения, установлению границ таких земель и внесению сведений о них в Единый государственный реестр недвижимости
3. установление уполномоченным федеральным органом исполнительной власти, осуществляющим функции по выработке государственной политики и нормативно-правовому регулированию в сфере агропромышленного комплекса, значение критериев для формирования перечней особо ценных земель.";органы государственной власти субъекта Российской Федерации и органы местного самоуправления;Данные отсутствуют;Данные отсутствуют;Данные отсутствуют
112610;данные отсутствуют;органы местного самоуправления;данные отсутствуют;данные отсутствуют;данные отсутствуют
112611;Россельхознадзор;Расходы на оказание необходимых и обязательных услуг.;Расходы на оказание необходимых и обязательных услуг.;Расходы на оказание необходимых и обязательных услуг.;Доходы от приносящей доход деятельности.
112614;Отсутствует;Минцифры России;Нет;Нет;Нет
112624;-;-;-;--;-
112630;(№.K);-;нет;нет;нет
112631;отсутствует;Принятие Примерного положения о комитете (комиссии) по охране труда не приведет к возникновению дополнительных расходов бюджетов бюджетной системы Российской Федерации;Проектом акта не вводятся новые расходные обязательства;Проектом акта не вводятся новые расходные обязательства;Проектом акта не вводятся новые поступления
112638;Предлагаемым правовым регулированием не предусмотрено;Предлагаемые изменения не предусматривают установление новых или изменение существующих функций, полномочий, обязанностей или прав органов власти;Предлагаемым правовым регулированием не предусмотрено;Предлагаемым правовым регулированием не предусмотрено;Предлагаемым правовым регулированием не предусмотрено
112652;Утверждение порядка выдачи и формы заключения о соответствии Единого общероссийского профессионального объединения организаций, осуществляющих проверку готовности к выполнению сварочных работ на опасных производственных объектах, требованиям, предъявляемым к таким организациям;Ростехнадзор;Дополнительного финансирования не требуется. Будет реализовываться в рамках установленных бюджетных ассигнований;Не предусмотрены;Не предусмотрены
112662;Отсутствует;МЧС России и его территориальные органы;дополнительных расходов не ожидается;дополнительных расходов не ожидается;не предполагается
112664;Наделение полномочий по принятию решений о лишении хранителя права участия в конкурсном отборе хранителей запасов федерального интервенционного фонда сельскохозяйственной продукции.;Минсельхоз России;нет;нет;нет
112674;Органы государственной власти, органы местного самоуправления, государственные (муниципальные) учреждения, подведомственные органы государственной власти, органы местного самоуправления;Принятие законопроекта не предполагает увеличения численности, не потребует дополнительных расходов из федерального бюджета и изменения порядка финансирования федеральных органов исполнительной власти. Принятие законопроекта не предполагает увеличения численности, не потребует дополнительных расходов из федерального бюджета и изменения порядка финансирования федеральных органов исполнительной власти.;Не ожидается;Не ожидается;Не ожидается
112694;Отсутствуют;Дополнительных расходов бюджетов бюджетной системы Российской Федерации в связи с принятием проекта федерального закона не ожидается;-;-;-
112712;Отсутствует;Минцифры России;Нет;Нет;Нет
112723;отсутствует;отсутствует;отсутствуют;отсутствуют;отсутствуют
112732;(N.K);(Орган N);-;-;-
112735;Отсутствует;МЧС России и его территориальные органы;дополнительных расходов не ожидается;дополнительных расходов не ожидается;дополнительных расходов не ожидается
112736;нет;нет;нет;нет;нет
112738;Отсутствует;МЧС России и его территориальные органы;не ожидается;не ожидается;не ожидается
112762;Новые функции, полномочия, обязанности или права не вводятся, существующие сохраняются;Министерство труда и социальной защиты Российской Федерации (Минтруд России);0;0;0
112762;Новые функции, полномочия, обязанности или права не вводятся, существующие сохраняются;Министерство Российской Федерации по делам гражданской обороны, чрезвычайных ситуаций и ликвидации последствий стихийных бедствий (МЧС России);0;0;0
112762;Новые функции, полномочия, обязанности или права не вводятся, существующие сохраняются;"Государственная корпорация по атомной энергии ""Росатом""";0;0;0
112762;Новые функции, полномочия, обязанности или права не вводятся, существующие сохраняются;Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор);0;0;0
112765;"Введение новых или изменение существующих функций, полномочий, обязанностей 
не предусмотрено
";Министерство здравоохранения Российской Федерации;не предусматриваются;не предусматриваются;не предусматриваются
112773;"Россельзознадзор – проверка качества и безопасности зерна и продуктов переработки зерна; Роспотребнадзор - проверка качества и безопасности продуктов переработки зерна; ФТС России - проверка документов на партию зерна или продуктов переработки зерна";Россельхознадзор, Роспотребнадзор, ФТС России;В пределах доведенных бюджетных средств;В пределах доведенных бюджетных средств;Не предусмотрено
112778;Новые функции не вводятся, существующие сохраняются;Министерство труда и социальной защиты Российской Федерации (Минтруд России);0;0;0
112778;Новые функции не вводятся, существующие сохраняются, их реализация уточняется в соответствии с вводимым проектом приказа регулированием;Органы по труду субъектов Российской Федерации, осуществляющие проведение государственной экспертизы условий труда;0;0;0
112781;-;-;-;-;-
112785;отсутствует;отсутствует;отсутствуют;отсутствуют;отсутствуют
112813;-;-;-;-;-
112819;Нет.;Нет.;Нет.;Нет.;Нет.
112822;Нет;Нет;Нет;Нет;Нет
112835;Не предусматривается;-;-;-;-
112842;нет;нет;нет;нет;нет
112848;Нет.;Нет.;Нет.;Нет.;Нет.
112853;Нет.;Нет.;Нет.;Нет.;Нет.
112866;Наделение Рослесхоза, его территориальных органов и подведомственных государственных учреждений полномочиями по осуществлению государственного надзора в сфере оборота древесины (предупреждение, выявление и пресечение нарушений юридическими лицами, индивидуальными предпринимателями и гражданами обязательных требований).;Федеральное агентство лесного хозяйства (Рослесхоз), его территориальные органы и подведомственные государственные учреждения.;Отсутствуют.;Отсутствуют.;Отсутствуют.
112881;--;-;-;-;-
112886;Информация ;Реализация положений проекта постановления не повлечет увеличение расходов (возможных поступлений) федерального бюджета и расходов (возможных поступлений) иных бюджетов бюджетной системы Российской Федерации.;Отсутствуют;Отсутствуют;Отсутствуют
112909;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
112918;Федеральная служба  по ветеринарному и фитосанитарному надзору;В рамках выделенных бюджетных ассигнований;-;-;-
112931;Право на отказ иностранному судну в заходе в морской порт, если будет установлено, что оно было задействовано или как либо иным образом связано в участии незаконной добыче (вылове) водных биоресурсов или иной связанной с браконьерством деятельностью.;Капитан морского порта;Не предвидится;Не предвидится;Не предвидится
112953;-;Проект постановления не принесет расходов (возможных поступлений) бюджетов бюджетной системы Российской Федерации;Не применимо;Не применимо;Не применимо
112956;-;проект приказа ФНС России не влечет расходов (возможных поступлений);0;0;0
112957;информация отсутствует;принятие приказа не приведет к изменению расходов (поступлений) бюджетов бюджетной системы России.;Не требуется.;Не требуется.;Не планируются.
112968;новых функций нет;Минтранс России;нет данных;нет данных;нет данных
112970;Проектом постановления не устанавливаются новые или не изменяются функции, полномочия, обязанности или права, так как все полномочия уже осуществляются в соответствии с положениями Закона о рыболовстве и разработанным в целях его реализации нормативных правовых актах Правительства Российской Федерации;Росрыболовство;Не предвидится, так как имеется правоприменительная практика в рамках Закона о рыболовстве, расходов или поступлений не предвидится в связи с предлагаемым законопроектом регулированием.Все полномочия будут осуществляться Росрыболовством в рамках предусмотренных бюджетных ассигнований на осуществления полномочий, установленных положением о Росрыболовстве (постановление Правительства Российской Федерации № 444).;Не предвидится, так как имеется правоприменительная практика в рамках Закона о рыболовстве, расходов или поступлений не предвидится в связи с предлагаемым законопроектом регулированием.Все полномочия будут осуществляться Росрыболовством в рамках предусмотренных бюджетных ассигнований на осуществления полномочий, установленных положением о Росрыболовстве (постановление Правительства Российской Федерации № 444).;Не предвидится,  Все полномочия будут осуществляться Росрыболовством в рамках предусмотренных бюджетных ассигнований на осуществления полномочий, установленных положением о Росрыболовстве (постановление Правительства Российской Федерации № 444).
112979;отсутствует;отсутствует;отсутствуют;отсутствуют;отсутствуют
112987;Нет;Нет;Нет;Нет;Нет
113008;-;-;-;-;-
113030;Изменения отсутствуют;Минпромторг России;отсутствуют;отсутствуют;отсутствуют
113037;Не имеется;Отсутствуют данные;Отсутствуют;Отсутствуют;Отсутствуют
113039;НЕт данных;Отсутствуют данные;Нет расходов;Нет данных;Нет данных
113041;нет;нет;нет;нет;нет
113047;Осуществление новых или изменения существующих функций, полномочий, обязанностей или прав не устанавливается;Орган законодательной (исполнительной) власти субъекта Российской Федерации;отсутствуют;отсутствуют;отсутствуют
113058;Нет.;Нет.;Нет.;Нет.;Нет.
113059;Нет.;Нет.;Нет.;Нет.;Нет.
113061;Введение новых или изменение существующих функций, полномочий, обязанностей не предусмотрено;Минздрав России;Не предусматриваются;Не предусматриваются;Не предусматриваются
