regulation_project_id;Группа участников отношений;Оценка количества участников отношений
114926;"Органы исполнительной власти субъектов Российской Федерации, уполномоченные в области ветеринарии; ветеринарные аптечные организации; ветеринарные организации; организации оптовой торговли; индивидуальные предприниматели; организации, осуществляющие выращивание, разведение и содержание животных; физические лица, в том числе владельцы животных; специалисты в области ветеринарии с высшим или средним ветеринарным образованием, Россельхознадзор и его территориальные органы, ФГБУ «ВГНКИ»";Отсутствуют
114926;отсутствуют;отсутствуют
114953;Действие постановления будет распространяться на профессиональные коллекторские организации, осуществляющие деятельность по возврату просроченной задолженности физических лиц.;более 300
114953;-;-
114955;Юридические лица, индивидуальные предприниматели ;396 изготовителей государственных регистрационных знаков транспортных средств, 407 специализированных организаций, участвующих в государственной регистрации транспортных средств.  
114955;Нет;Нет
114962;Лица, претендующие на получение свидетельств, позволяющих выполнять функции членов экипажа гражданского воздушного судна, за исключением сверхлегкого пилотируемого гражданского воздушного судна с массой конструкции 115 килограммов и менее, беспилотного гражданского воздушного судна с максимальной взлетной массой 30 килограммов и менее, сотрудников по обеспечению полетов гражданской авиации, функции по техническому обслуживанию воздушных судов и диспетчерскому обслуживанию воздушного движения, требованиям федеральных авиационных правил;не определенный круг лиц
114975;"Граждане Российской Федерации, зарегистрированные в качестве индивидуального предпринимателя, претендующие на получение лицензии на осуществление частной детективной деятельности; граждане Российской Федерации, имеющие лицензию на осуществление частной детективной деятельности; юридические лица, претендующее на получение лицензии на осуществление частной охранной деятельности; юридические лица, имеющее лицензию на осуществление частной охранной деятельности.";"-4,014 млн граждан Российской Федерации, зарегистрированных в качестве индивидуальных предпринимателей;
; -848 граждан Российской Федерации, имеющих лицензию на осуществление частной детективной деятельности;
; -3,98 млн юридических лиц;
; -17,5 тыс. юридических лиц, имеющих лицензию на осуществление частной охранной деятельности."
114975;нет;нет
114985;ФНС России; 
114985; ; 
114985;организаторы азартных игр в букмекерских конторах или тотализаторах; 
114985; ; 
114985;потенциальные соискатели лицензий на осуществление деятельности по организации и проведению азартных игр в букмекерских конторах или тотализаторах;"1

29



оценить не представляется возможным
"
114985;-;-
114987;-;-
114987;-;-
114988;Производители посуды, производители елочных украшений;Оценить не представляется возможным.
114988;Отсутствует.;Отсутствует.
114992;ФНС России; 
114992; ; 
114992;производители защищенной от подделок полиграфической продукции; 
114992; ; 
114992;потенциальные соискатели лицензий на осуществление деятельности по производству и реализации защищенной от подделок полиграфической продукции;"1

29



оценить не представляется возможным
"
114992;-;-
114994;Юридические лица и индивидуальные предприниматели, осуществляющие хозяйственную и (или) иную деятельность на объектах, оказывающих негативное воздействие на окружающую среду.;В настоящее время на государственный учет объектов, оказывающих негативное воздействие на окружающую среду, поставлено более 300000 предприятий.
114994;Заинтересованные федеральные органы исполнительной власти и осуществляющие государственное управление в области охраны окружающей среды органы исполнительной власти субъектов Российской Федерации;32 территориальных органа Росприроднадзора и 85 органов исполнительной власти субъектов Российской Федерации, уполномоченных в области государственного экологического надзора
115002;страхователи по обязательному социальному страхованию от несчастных случаев на производстве и профессиональных заболеваний;3,4 млн.
115002;Фонд социального страхования Российской Федерации и его территориальные органы;86
115003;Юридические лица, индивидуальные предприниматели и граждане, ведущие личное подсобное хозяйство, осуществляющие деятельность в области пчеловодства;более 150 тыс. пчеловодов
115003;не;нет
115012;-;-
115012;-;-
115017;Производители музыкальных инструментов.;Оценить не представляется возможным.
115017;Отсутствует.;Отсутствует.
115023;Операторы связи;Более 1000
115023;отсутствует;-
115031;Таможенные органы, участники внешнеэкономической деятельности;Неограниченный круг лиц
115031;-;-
115055;Производители музыкальных инструментов.;Оценить не представляется возможным.
115055;-;-
115059;"Субъекты, планирующие использовать суда под иностранным флагом для  выполнения работ , предусмотренных постановлением  Правительства Российской Федерации от 07.12.2020 № 2033 «О случаях и порядке осуществления деятельности с использованием судов, плавающих под флагами иностранных государств»
";-
115059;"Федеральные органы исполнительной власти - Минобороны России,ФСБ России и Росморречфлот
";-
115065;хозяйствующие субъекты;до 500
115065;отсутствуют;отсутствуют
115077;Органы государственной власти, органы местного самоуправления, физические и юридические лица;Неограниченный круг лиц
115077;отсутствует;отсутствует
115113;участники экономических отношений, возникающих в связи с оказанием услуг по передаче тепловой энергии: юридические лица и индивидуальные предприниматели, являющиеся собственниками или иными законными владельцами тепловых сетей и оказывающие услуги по передаче тепловой энергии;Не представляется возможным оценить 
115113;органы исполнительной власти субъектов Российской Федерации, осуществляющие полномочия по государственному регулированию тарифов в сфере теплоснабжения;Не представляется возможным оценить (количество участников зависит от количества субъектов Российской Федерации, на территории которых осуществляют деятельность собственники или иные законные владельцы тепловых сетей, а также от количества таких организаций на территории каждого субъекта Российской Федерации)
115114;Таможенные органы; 
115114;Участники внешнеэкономической деятельности;Оценка количества участников затруднительна
115114;Отсутствует;Отсутствует
115119;Контроль-надзорный орган, упономоченный на проведение федерального государственного контроля за проведением работ по активным воздействиям на гидрометеорологические процессы ;8
115119;нет;нет
115121;Иностранный инвестор или физическое/юридическое лицо, входящее в одну группу лиц с иностранным инвестором (в значении, используемом в Законе № 57-ФЗ).;Точное количество участников определяется в зависимости от вида стратегической деятельности, осуществляемой обществом в соответствии со статьей 6 Закона № 57-ФЗ.
115121;Уполномоченный орган, Правительственная комиссия по контролю за осуществлением иностранных инвестиций в Российской Федерации.;В зависимости от количества членов Правительственной комисси по контролю за осуществлением иностранных инвестиций в Российской Федерации.
115123;"Юридические лица, индивидуальные предприниматели, физические лица ";"

29 104"
115123;(лица, которым лесные участки предоставлены в постоянное (бессрочное) пользование или в аренду, либо лица, осуществляющими использование лесов на основании сервитута, публичного сервитута).;"

29 104"
115123;Органы государственной власти, органы местного самоуправления в пределах их полномочий, определенных в соответствии со статьями 81-84 Лесного кодекса Российской Федерации.;   85
115126;Операторы связи;Около 5000
115126;Федеральная служба по надзору в сфере связи, информационных технологий и массовых коммуникаций (Роскомнадзор);1
115130;Организации, осуществляющие образовательную деятельность и реализующие основные программы профессионального обучения водителей транспортных средств соответствующих категорий и подкатегорий.	;6618 организаций
115130;нет;нет
115136;"Образовательные организации, осуществляющие прием на обучение по соответствующим образовательным программам среднего профессионального и высшего образования";3497
115136; ; 
115136;"расположенные на территории Российской Федерации образовательные организации, реализующие образовательные программы основного общего и (или) среднего общего образования и (или) среднего профессионального образования на базе основного общего образования с одновременным получением среднего общего образования"; 
115136; ; 
115136;"дипломатические представительства и консульские учреждения Российской Федерации, представительства Российской Федерации при международных (межгосударственных, межправительственных) организациях, имеющие в своей структуре специализированные структурные образовательные подразделения, реализующие образовательные программы основного общего и (или) среднего общего образования";5800
115136; ; 
115136;учредители образовательных организаций, расположенных за пределами территории Российской Федерации и реализующих имеющие государственную аккредитацию образовательные программы основного общего и (или) среднего общего образования; 
115136;"Органы исполнительной власти субъектов Российской Федерации, осуществляющие государственное управление в сфере образования";85
115136; ; 
115136;органы местного самоуправления, осуществляющие управление в сфере образования; 
115138;Юридические лица и индивидуальные предприниматели, состоящие на специальном учете в Федеральной пробирной палате;36476
115138;-;-
115142;Хозяйствующие субъекты, осуществляющие деятельность в области обращения с отходами производства и потребления ;Не представляеться возможным подсчитать
115142;нет;нет
115146;участники экономических отношений, возникающих в связи с оказанием услуг по транспортировке холодной воды, горячей воды, сточных вод: юридические лица и индивидуальные предприниматели, являющиеся собственниками или иными законными владельцами водопроводных и (или) канализационных сетей и (или) сооружений на них, и оказывающие услуги по транспортировке воды и (или) сточных вод;Не представляется возможным оценить 
115146;органы исполнительной власти субъектов Российской Федерации, осуществляющие полномочия по государственному регулированию тарифов в сфере водоснабжения и водоотведения;количество участников зависит от количества субъектов Российской Федерации, на территории которых осуществляют деятельность собственники или иные законные владельцы водопроводных и (или) канализационных сетей и (или) сооружений на них
115155;Операторы связи;Около 5000
115155;Федеральная служба по надзору в сфере связи, информационных технологий и массовых коммуникаций (Роскомнадзор);1
115159;участники внешнеэкономической деятельности;Информация отсутствует
115159;Информация отсутствует;Информация отсутствует
115160;государственные учреждения культуры;1
115160;государственные предприятия;1
115166;Федеральные органы исполнительной власти Минсельхоз России,  ФТС России и ее территориальные органы;около 10
115166;Юридические лица и индивидуальные предприниматели, осуществляющие ввоз сахара белого;около 5
115168;Иностранный инвестор или физическое/юридическое лицо, входящее в одну группу лиц с иностранным инвестором (в значении, используемом в проекте федерального закона (ID 02/04/08-20/00107608).;"Точное количество участников определяется в зависимости от вида стратегической деятельности, осуществляемой обществом в соответствии со статьей 6 Федеральным законом от 29.04.2008 № 57-ФЗ ""О порядке осуществления иностранных инвестиций в хозяйственные общества, имеющие стратегическое значение для обеспечения обороны страны и безопасности государства"" (далее - Закон № 57-ФЗ)"
115168;Уполномоченный орган, Правительственная комиссия по контролю за осуществлением иностранных инвестиций в Российской Федерации.;В зависимости от количества членов Правительственной комиссии по контролю за осуществлением иностранных инвестиций в Российской Федерации.
115172;Организации, осуществляющие образовательную деятельность;Около тысячи организаций
115172;Лица, поступающие на обучение по программам подготовки научных и научно-педагогических кадров в аспирантуре;Более 17 тысяч человек
115179;Юридические лица, осуществляющие деятельность, связанную с оборотом прекурсоров, внесенных в список I  перечня наркотических средств, психотропных веществ и их прекурсоров, подлежащих контролю в Российской Федерации (далее – перечень), юридические лица и индивидуальные предприниматели, осуществляющие деятельность, связанную с оборотом прекурсоров, внесенных в список IV перечня.;Более 25000 
115179;"Федеральный орган исполнительной власти, осуществляющий функции по выработке и реализации государственной политики и нормативно-правовому регулированию в сфере контроля за оборотом наркотических средств, психотропных веществ и их прекурсоров, а также правоприменительные функции по федеральному государственному контролю (надзору) в сфере внутренних дел (МВД России).             ";3
115179;"Федеральный орган исполнительной власти, осуществляющий функции по лицензированию деятельности, связанной с оборотом наркотических средств, психотропных веществ и их прекурсоров (Росздравнадзор). ";3
115179;Федеральный орган исполнительной власти, осуществляющий функции по выработке государственной политики и нормативно-правовому регулированию в сфере промышленного комплекса (Минпромторг России);3
115181;Педагогические работники, относящиеся к профессорско-преподавательскому составу ;Неограниченное количество
115181;Нет;Нет
115182;Образовательные организации высшего образования;1147
115182;Обучающиеся по образовательным программам высшего образования;Около 3 736 343
115183;Образовательные организации высшего образования;1147
115183;Обучающиеся по образовательным программам высшего образования;Около 3 736 343
115184;Образовательные организации высшего образования;1147
115184;Обучающиеся по образовательным программам высшего образования ;Около 3 736 343
115185;Юридические лица и индивидуальные предприниматели, осуществляющие деятельность, связанную с оборотом прекурсоров, внесенных в таблицы I и II списка IV перечня наркотических средств, психотропных веществ и их прекурсоров, подлежащих контролю в Российской Федерации.;более 25000 (согласно сведениям отчетов по форме 1-контроль)
115185;"1.Федеральный орган исполнительной власти, осуществляющий функции по выработке и реализации государственной политики и нормативно-правовому регулированию в сфере контроля за оборотом наркотических средств, психотропных веществ и их прекурсоров, а также правоприменительные функции по федеральному государственному контролю (надзору) в сфере внутренних дел (МВД России).  
";3
115185;"2.Федеральный орган исполнительной власти, осуществляющий функции по лицензированию деятельности, связанной с оборотом наркотических средств, психотропных веществ и их прекурсоров (Росздравнадзор). 
";3
115185;3.Федеральный орган исполнительной власти, осуществляющим функции по выработке государственной политики и нормативно-правовому регулированию в сфере промышленного комплекса (Минпромторг России).;3
115189;Юридические лица, осуществляющие деятельность по обороту наркотических средств и психотропных веществ, культивированию наркосодержащих растений;Более 7500 
115189;"Федеральный орган исполнительной власти, осуществляющий функции по выработке и реализации государственной политики и нормативно-правовому регулированию в сфере контроля за оборотом наркотических средств, психотропных веществ и их прекурсоров, а также правоприменительные функции по федеральному государственному контролю (надзору) в сфере внутренних дел (МВД России).";4
115189;"Федеральный орган исполнительной власти, осуществляющий функции по лицензированию деятельности, связанной с оборотом наркотических средств, психотропных веществ и их прекурсоров (Росздравнадзор). ";4
115189;"Федеральный орган исполнительной власти, осуществляющим функции по выработке государственной политики и нормативно-правовому регулированию в сфере промышленного комплекса (Минпромторг России). ";4
115189;Федеральный орган исполнительной власти, осуществляющим функции по выработке и реализации государственной политики и нормативно-правовому регулированию в сфере здравоохранения (Минздрав России);4
115192;Производители колесных транспортных средств;15
115192;отсутствует;отсутствует
115193;"Иностранные инвесторы; хозяйственные общества, имеющие стратегическое значение для обеспечения обороны страны и безопасности государства; Правительственная комиссия по контролю за осуществлением иностранных инвестиций в Российской Федерации; ФАС России; иные заинтересованные федеральные органы исполнительной власти, к компетенции которых относится представление позиций в рамках деятельности указанной Правительственной комиссии, а также принимающие решения о выдаче (приостановлении, аннулировании) лицензий (иных разрешительных документов) на осуществление видов деятельности, имеющих стратегическое значение (если такие виды деятельности подлежат обязательному лицензированию, получению разрешительных документов).";"Ежегодно в среднем количество: ходатайств, рассматриваемых Правительственной комиссией - 20; федеральных органов исполнительной власти, участвующих в рассмотрении ходатайств - 9. Предполагается, что предусмотренные полномочия Правительственной комиссии по принятию решения о выявленных нарушениях, а также дополнительных оснований для приостановления (аннулирования) действия лицензий (иных разрешительных документов) на осуществление видов деятельности, имеющих стратегическое значение, будут иметь единичное применение, с учетом принципа добросовестности поведения участников гражданского оборота (в том числе иностранных инвесторов). Оценочно предполагается, что количество сделок и действий, новые требования о необходимости согласования которых предусмотрены указанным проектом федерального закона и данным проектом постановления, составит ежегодно в среднем - 10. Таким образом, предположительно, количество участников отношений составит около 50."
115193;Отсутствуют;Отсутствуют
115218;физические лица, индивидуальные предприниматели и юридические лица;отсутствует
115218;заинтересованные федеральные органы исполнительной власти;отсутствует
115228;"Операторы связи, собственники или иные владельцы технологических сетей связи, собственники или иные владельцы точек обмена трафиком, собственники или иные владельцы линий связи, пересекающих государственную границу Российской Федерации, организаторы распространения информации в сети ""Интернет"", имеющие уникальный идентификатор совокупности средств связи и иных технических средств в сети ""Интернет"" (далее - номер автономной системы), иные лица, если такие лица имеют номер автономной системы.";Около 10000
115228;Федеральные органы исполнительной власти: Роскомнадзор, Минцифры России, ФСБ России;3
115229;Информация уточняется;Информация уточняется
115229;Информация уточняется;Информация уточняется
115234;Органы государственной власти;Роснедра и его территориальные органы
115234;Компании-недропользователи;"Любые заинтересованные в получении права пользования участками недр в целях геологического изучения, разведки и добычи доманиковых отложений лиц.; Предлагаемое проектом приказа дополнение видов трудноизвлекаемых полезных ископемых будут распространяться на всех без исключения участников рынка, однако посчитать на данном этапе точное или приблизительное количество компаний-недропользователей, которые им воспользуются, затруднительно"
115236;Органы государственной власти ;Роснедра и его территориальные органы
115236;Компании-недропользователи;"Любые заинтересованные в получении права пользования участками недр в целях разработки технологий геологического изучения, разведки и добычи трудноизвлекаемых полезных ископаемых лица.; Предлагаемое проектом приказа нормативное регулирование будет распространяться на всех без исключения участников рынка, однако посчитать на данном этапе точное или приблизительное количество компаний-недропользователей, которые им воспользуются, затруднительно"
115274;"субъекты отношений в сфере градостроительства (федеральные органы исполнительной власти; органы исполнительной власти субъектов Российской Федерации; органы местного самоуправления; физические и юридические лица)";количество участников оценить не представляется возможным
115274;-;-
115277;Субъекты предпринимательской и иной экономической деятельности;примерно 7661929
115277;Федеральная служба по труду и занятости (Роструд) и ее территориальные органы;1
115277;Министерство труда и социальной защиты Российской Федерации (Минтруд России);1
115282;Производители, экспортеры новой химической продукции (химических веществ и смесей) при наличии в ее составе новых химических веществ;150 тыс.
115282;отсутствует;отсутствует
115307;Владельцы личных подсобных и крестьянских (фермерских) хозяйств, индивидуальные предприниматели и организации, занятые содержанием медоносных пчел в целях их воспроизводства, выращивания, реализации и использования для опыления сельскохозяйственных энтомофильных растений и получения продукции пчеловодства;более 150 000 объектов
115307;В отношении иных хозяйствующих субъектов разработанный проект приказа применяться не будет;0
115313;сельхозтоваропроизводители, реализующие проекты по созданию и /или модернизации тепличных комплексов;более 16
115313;В отношении иных хозяйствующих субъектов разработанный проект приказа применяться не будет;0
115315;"Юридические и физические лица, осуществляющие деятельность в области геодезии и картографии
";более 5 тысяч
115315;Отсутствует;Отсутствует
115325;Информация уточняется;Информация уточняется
115325;Информация уточняется;Информация уточняется
115328;Юридические лица - производители металлургической продукции, участники внешнеторговой деятельности;порядка 30
115328;Юридические лица - потребители металлургической продукции;десятки тысяч
115342;Группа участников отношений:; 
115342;"Сетевые компании - владельцы объектов электросетевого хозяйства, являющихся  объектами диспетчеризации; Генерирующие компании -собственники объектов по производству электроэнергии оборудование которых является объектами диспетчеризации.";370
115342;-;-
115353;Единые теплоснабжающие организации, потребители тепловой энергии (мощности);информация о количестве отсутствует
115353;Уполномоченные органы местного самоуправления поселений, городских округов, органы исполнительной власти субъектов Российской Федерации;информация о количестве отсутствует
115354;Физические и юридические лица;отсутствует
115354;Граждане, управляющие и ресурсоснабжающие организации, органы государственной власти субъектов Российской Федерации, органы местного самоуправления;отсутствует
115358;"Юридические лица и индивидуальные предпринимателм в сфере обращения лекарственных средств;"; 
115358;Объекты, используемые при осуществлении деятельности в сфере обращения лекарственных средств, включая здания, помещения, сооружения и оборудование к которым предъявляются обязательные требования.;"- количество юридических лиц, имеющих лицензии для осуществления фармацевтической деятельности в сфере обращения лекарственных средств для медицинского применения составило 26395;; - количество индивидуальных предпринимателей, имеющих лицензии для осуществления фармацевтической деятельности в сфере обращения лекарственных средств для медицинского применения составило 1496;; - количество производитей лекарственных средств для медицинского применения составило 500;; - количество юридических лиц, имеющих лицензии для осуществления фармацевтической деятельности в сфере обращения лекарственных средств для ветеринарного применения составило 5834;; - количество индивидуальных предпринимателей, имеющих лицензии для осуществления фармацевтической деятельности в сфере обращения лекарственных средств для ветеринарного; применения составило 1239;; - количество производителей лекарственных средств для ветеринарного; составило 110.; Общее число количества участников составило 35574."
115358;отсутствуют;отсутствуют
115363;Производителе синтетического каучука;нет
115363;-;-
115369;Производители соответствующей техники;30
115369;нет;нет
115370;Физические и юридические лица;отсутствует
115370;Управляющие и ресурсоснабжающие организации, собственники помещений в многоквартирном доме;отсутствует
115401;Саморегулируемые организации, основанные на обязательном членстве;609
115401;Саморегулируемые организации, основанные на добровольном членстве;345
115407;Налогоплательщики, осуществляющие внешнеторговую деятельность;количественные данные отсутствуют
115407;-;-
115414;Юридические лица и индивидуальные предприниматели в сфере обращения медицинских изделий;Свыше 50 000 участников отношений
115414;Росздравнадзор (территориальные органы Росздравнадзора);78 территориальных органов по субъектам Российской Федерации
115421;потребители , органы власти;все потребители теплоснабжения
