regulation_project_id;Риски решения проблемы предложенным способом и риски негативных последствий;Оценки вероятности наступления рисков;Методы контроля эффективности избранного способа достижения целей регулирования;Степень контроля рисков
108422;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
108423;Нет;Нет;non-applicable;non-applicable
108424;отсутствуют;отсутствуют;non-applicable;non-applicable
108425;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
108426;отсутствуют;отсутствуют;non-applicable;non-applicable
108427;-;-;non-applicable;non-applicable
108430;отсутствуют;отсутствуют;отсутствуют;отсутствует
108438;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют
108444;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
108449;Отсутствуют.;Отсутствуют.;Отсутствуют.;Отсутствуют.
108457;отсутствуют;отсутствуют;существующие;отсутствует
108460;отсутствуют;нет;нет;нет
108466;отсутствуют;нет;нет;нет
108467;отсутствуют;отсутствуют;отсутствуют;отсутствуют
108470;Риски не выявлены;-;-;-
108481;отсутствуют;0;0;0
108484;-;-;-;-
108486;-;-;-;-
108487;отсутствуют;0;0;0
108489;Не выявлены;Отсутствуют;Отсутствуют;Отсутствуют
108490;Не выявлены;Отсутствуют;Отсутствуют;Отсутствуют
108491;Не выявлены;Отсутствуют;Отсутствуют;Отсутствуют
108496;отсутствуют;отсутствуют;существующие;высокая
108509;Отсутствует;-;non-applicable;non-applicable
108511;Нет информации;Нет информации;Нет информации;Нет информации
108514;Нет;Нет;Нет;Нет
108524;-;-;-;-
108537;Риск несоответствия между способом регулирования и заявленными целями регулирования.;Маловероятен, поскольку аналогичные способы регулирования внедрены на практике в других сферах.;non-applicable;non-applicable
108551;-;-;-;-
108565;Риски отсутствуют;-;-;-
108566;Отсутствуют.;Отсутствуют.;non-applicable;non-applicable
108575;Риски отсутствуют;-;-;-
108578;отсутствуют;-;-;-
108579;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
108580;отсутствуют;-;-;-
108581;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
108582;Риски отсутствуют;-;-;-
108583;Отсутствуют;Отсутствуют;Контроль судебными органами в части возможности обжалования действий должностных лиц лицензирующих органов;Отсутствует
108588;отсутствуют;отсутствуют;отсутствуют;отсутствуют
108592;Риски несоответствия между способом регулирования и заявленными целями регулирования отсутствуют.;-;-;-
108598;отсутствуют;отсутствуют;отсутствуют;отсутствует
108606;Риски не выявлены;-;-;-
108607;Риски не выявлены;-;non-applicable;non-applicable
108610;Риски не усматриваются;Поскольку риски не усматриваются, вероятность их наступления отсутствует;В рамках мониторинга правоприменения;В рамках текущей деятельности Минприроды России и Роснедр
108619;Риски не выявлены;-;non-applicable;non-applicable
108620;Риски не выявлены;-;non-applicable;non-applicable
108623;-;-;non-applicable;non-applicable
108633;отсутствуют;-;-;-
108639;отсутствуют;-;-;-
108663;Риски не выявлены;-;-;-
108668;Риски не выявлены;-;non-applicable;non-applicable
108673;нет;нет;нет;нет
108676;Риски негативных последствий не выявлены.;Оценка вероятности наступления рисков отсутствует.;Метод контроля эффективности избранного способа достижения целей регулирования отсутствует.;Отсутствуют.
108680;Отсутствуют;Отсутствуют;non-applicable;non-applicable
108683;Вместо получения бесплатных выписок из реестра лицензий в форме электронного документа заявители и лицензиаты будут обращаться за получением бумажных выписок из реестра лицензий.;-;-;-
108686;Отсутствуют;Отсутствуют;non-applicable;non-applicable
108698;отсутствуют;не проводилась;отсутствуют;не установлена
108701;отсутствуют;Минимальные;существующие;высокая
108709;отсутствуют;не определены;non-applicable;non-applicable
108716;отсутствуют;отсутствуют;отсутствуют;отсутствуют
108725;Отсутствуют.;Отсутствуют.;non-applicable;non-applicable
108743;.;.;.;.
108754;Отсутствуют;Отсутствуют;-;-
108758;Риски отсутствуют;-;non-applicable;non-applicable
108760;отсутствуют;отсутствуют;существующие;высокая
108765;отсутствуют;отсутствуют;non-applicable;non-applicable
108772;отсутствуют;не проводилась;отсутствуют;не установлена
108774;-;-;-;-
108778;Риски при решении проблемы предложенным способом и негативные последствия не выявлены;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют
108783;Отсутствуют;Вероятность наступления рисков минимальна;Контроль за соблюдением требований проекта приказа будет осуществляться в рамках лицензионного контроля в области производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции, полномочия по осуществлению которого возложены на Росалкогольрегулирование;Полный контроль (заявленные меры, направленные на минимизацию риска, позволяют полностью исключить его влияние либо его влияние будет стремиться к нулю)
108786;отсутствуют;не проводилась;отсутствуют;не установлена
108787;Отсутствуют;Вероятность наступления рисков минимальна;Контроль за соблюдением требований проекта приказа будет осуществляться в рамках лицензионного контроля в области производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции, полномочия по осуществлению которого возложены на Росалкогольрегулирование;Полный контроль (заявленные меры, направленные на минимизацию риска, позволяют полностью исключить его влияние либо его влияние будет стремиться к нулю)
108789;Отсутствуют;Вероятность наступления рисков минимальна;Контроль за соблюдением требований проекта приказа будет осуществляться в рамках лицензионного контроля в области производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции, полномочия по осуществлению которого возложены на Росалкогольрегулирование;Полный контроль (заявленные меры, направленные на минимизацию риска, позволяют полностью исключить его влияние либо его влияние будет стремиться к нулю)
108796;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
108799;Отсутствуют;Отсутствуют;Существующие;Высокая
108809;Отсутствуют;Отсутствуют;non-applicable;non-applicable
108815;отсуствуют;отсутствуют;non-applicable;non-applicable
108818;Отсутствуют.;Вероятность отсутствует.;non-applicable;non-applicable
108819;Отсутствуют;Отсутствуют;non-applicable;non-applicable
108845;-;-;-;-
108850;недостаточное финансирование;высокие, учитывая отсутствие со стороны Росгидромета внятных расчетов по необходимому финансовому обеспечению предлагаемых законопроектом мероприятий;поручение Росгидромету подготовить детальные расчеты;средняя, т. к. финансирование увязано на решения Минфина России, Правительства, общую экономическую ситуацию, степень проработки предложений Росгидромиетом и т. д.
108851;отсутствуют;не предусмотрено;не предусмотрено;отсутствуют
108852;-;-;-;-
108858;отсутствуют;-;non-applicable;non-applicable
108865;отсутствуют;отсутствуют;отсутствуют;отсутствуют
108871;Риски не выявлены;-;-;--
108876;отсутствуют;отсутствуют;отсутствуют;отсутствуют
108895;Риски недостаточности механизмов для реализации предложенного способа решения проблемы;не актуальны;-;-
108903;Отсутствуют;Отсутствуют;non-applicable;non-applicable
108904;Отсутствуют;Отсутствуют;non-applicable;non-applicable
108907;Отсутствуют;Отсутствуют;non-applicable;non-applicable
108914;отсутствуют;отсутствуют;non-applicable;non-applicable
108918;отсутствуют;отсутствуют;отсутствуют;отсутствуют
108923;отсутствуют;отсутствуют;нет;нет
108924;отсутствуют;отсутствуют;отсутствуют;отсутствуют
108929;Отсутствуют.;Отсутствуют.;non-applicable;non-applicable
108930;Рисков и негативных последствий не выявлено;низкая вероятность;Выявление случаев проведения работ по активным воздействиям на гидрометеорологические процессы без наличия лицензии Росгидромета;Средняя
108932;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
108942;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
108945;(Риск N);-;-;-
108945;Отсутствуют;нет;нет;нет
108949;(Риск N);-;-;-
108949;Отсутствуют;нет;нет;нет
108952;(Риск N);-;-;-
108952;Отсутствуют;нет;нет;нет
108960;Отсутствуют;нет;нет;нет
108962;Не выявлены;Маловероятны;В рамках правоприменительной практики реализации законопроекта;Полный контроль
108965;отсутствуют;отсутствуют;non-applicable;non-applicable
108976;отсутствуют;не проводилась;отсутствуют;не установлена
109031;нет;нет;non-applicable;non-applicable
109032;Отсутствуют.;Отсутствуют.;non-applicable;non-applicable
109036;отсутствуют;отсутствуют;отсутствуют;отсутствуют
109043;Предложенный способ решения проблемы не связан с появлением рисков;Отсутствует;Комплексный подход к решению выявленных проблем, в том числе использование механизмов правоприменительной практики, практической апробации, а также контроля реализации нормативного правового акта;Отсутствует
109052;отсутствуют;отсутствуют;отсутствуют;отсутствуют
109067;Отсутствуют.;Отсутствуют.;non-applicable;non-applicable
109068;Отсутствуют;Отсутствуют;non-applicable;non-applicable
109071;отсутствует;отсутствует;отсутствует;отсутствует
109077;Риски негативных последствий не выявлены.;Оценка вероятности наступления рисков отсутствует.;Метод контроля эффективности избранного способа достижения целей регулирования отсутствует.;Отсутствуют.
109088;отсутствуют;0;0;0
109095;-;-;-;-
109096;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
109107;Отсутствуют;-;-;-
109134;отсутствуют;отсутствуют;Контроль судебными органами в части возможности обжалования действий должностных лиц лицензирующих органов;отсутствуют
109153;-;-;-;-
109155;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
109164;Отсутствует;Отсутствует;Отсутствует;Отсутствует
109180;Отсутствуют;Отсутствуют;non-applicable;non-applicable
109195;отсутствуют;отсутствуют;рассмотрение тарифных заявлений компаний, осуществляющих поставку сжиженного газа в баллонах населению;отсутствует
109198;Если предлагаемое регулирование будет не эффективно, то есть риск возможного установления иного решения проблемы в форме постоянного проведения проверок ветеринарных организаций, осуществляющих лечебно-профилактические мероприятия, и в организациях, осуществляющих разведение, выращивание и содержание животных, или индивидуальных предпринимателей, осуществляющих ветеринарную деятельность;Маловероятно;Государственный контроль (надзор);Полная
109200;отсутствуют;отсутствуют;отсутствуют;отсутствуют
109202;____;____;____;____
109204;Отсутствуют;Не требуется;Не предусмотрены;Информация отсутствует
109210;___;___;non-applicable;non-applicable
109213;____;_____;non-applicable;non-applicable
109230;Отсутствуют;-;non-applicable;non-applicable
109236;нет;нет;отсутствуют;отсутствует
109238;отсутствуют;отсутствуют;отсутствуют;отсутствует
109244;риски отсутствуют, документ носит рекомендательный характер;риски отсутствуют, документ носит рекомендательный характер;non-applicable;non-applicable
109265;отсутствует;отсутствует;non-applicable;non-applicable
109279;Не усматриваются;Риски не усматриваются;Контроль эффективности не требуется;Риски не усматриваются
109280;Риски не выявлены.;Риски не выявлены.;Риски не выявлены.;Риски не выявлены.
109290;Риски не выявлены.;Риски не выявлены.;Риски не выявлены.;Риски не выявлены.
109298;Риски не выявлены.;Риски не выявлены.;Риски не выявлены.;Риски не выявлены.
109311;отсутствуют;отсутствуют;отсутствуют;отсутствуют
109318;-;-;-;-
109320;-;-;-;-
109336;-;-;-;-
109337;отсутствуют;-;-;-
109338;-;-;-;-
109339;-;-;-;-
109340;отсутствуют;-;-;-
109351;Риски не выявлены.;Риски не выявлены.;Риски не выявлены.;Риски не выявлены.
109352;-;-;-;-
109355;В случае непринятия законопроекта;Отсутствует механизма корректировки границ участков недр распределенного фонда недр путем разделения, выделения и объединения участков недр (за исключением участков недр местного значения);Принятие законопроекта;Не потребуется
109363;Риски не выявлены.;Риски не выявлены.;Риски не выявлены.;Риски не выявлены.
109372;-;-;-;-
109382;В случае непринятия проекта постановления;Отсутствие механизма изменения границ лицензионных участков путем присоединения части участка недр распределенного фонда к другому участку недр, взаимной корректировки границ участков недр и изменения границ участков недр для геологического изучения недр;Принятие проекта постановления;Не потребуется
109410;Отсутствуют;Отсутствуют;Существующие;Высокая
109411;Риски решения проблемы предложенным способом и риски негативных последствий не предвидится;маловероятен;контроль за эффективностью избранного способа достижения целей регулирования будет осуществляться Росрыболовстом при предоставлении права на добычу (вылов) китообразных и пограничной службой ФСБР России, осуществляющей государственный контроль (надзора) в области рыболовства и сохранения водных биологических ресурсов в отношении морских биоресурсов согласно части 2 статьи 43.2 Закона о рыболовстве.;Данный риск будет осуществляться Росрыболовством и ФСБ россии
109415;Отсутствуют;-;non-applicable;non-applicable
109426;Риски негативных последствий не выявлены.;Оценка вероятности наступления рисков отсутствует.;Метод контроля эффективности избранного способа достижения целей регулирования отсутствует.;Информация отсутствует.
109432;Отсутствуют;Минимальная;Существующие;Высокая
109441;отсутствуют;не выявлены риски и негативные последствия предложенного способа регулирования и риски негативных последствий не выявлены.;методы, предусмотренные при осуществлении федеральными органами исполнительной власти контроля за выполнением инвестиционных программ организаций, осуществляющих регулируемые виды деятельности в сфере теплоснабжения, а также уполномоченными органами исполнительной власти субъектов Российской Федерации в сфере теплоснабжения, утвердившими инвестиционную программу, органами местного самоуправления;информация отсутствует
109458;Отсутствуют;_;_;_
109459;Отсутствуют;Не проводилась;Отсутствуют;Не установлена
109460;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
109468;Отсутствуют;Отсутствуют;Возбуждение дела об административном правонарушении в порядке, предусмотренном Кодексом Российской Федерации об административных правонарушениях.;Отсутствуют
109473;отсутствуют;отсутствуют;non-applicable;non-applicable
109477;-;-;-;-
109481;отсутствие возможности выявления на стадии профилактического мероприятия возможного правонарушения приведет к наличию правонарушения и привлечению к ответственности лиц, допустивших такое правонарушение;высокая;non-applicable;non-applicable
109482;отсутствуют;отсутствуют;утвержден;нет
109510;нет;нет;non-applicable;non-applicable
109512;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствует
109524;Риски решения проблемы предложенным способом, а также риски негативных последствий отсутствуют, так как проектом постановления не устанавливаются запреты и ограничения, а напротив, в результате принятия проекта юридические лица, индивидуальные предприниматели в сфере предпринимательской и иной экономической деятельности получат преимущества в виде расширения круга лиц, имеющих возможность ввоза кормов для сельскохозяйственных животных, безопасность которых была ранее подтверждена Россельхознадзором, а также нивелирование возможности монополизации ввоза высокобелковых кормов в 2021 году, что будет способствовать увеличению объема импорта кормов на конкурентной основе и сохранению себестоимости производства животноводческой продукции на уровне 2020 года.;Менее 1%;non-applicable;non-applicable
109525;Риски решения проблемы предложенным способом и риски негативных последствий отсутствуют;Вероятность наступления рисков отсутствует;"Методы контроля эффективности избранного способа достижения целей регулирования предусмотрены Федеральным законом ""О государственном контроле (надзоре) и муниципальном контроле в Российской Федерации""";Отсутствует
109532;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
109536;нет;нет;нет;нет
109537;-;-;non-applicable;non-applicable
109539;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
109546;Риски решения проблемы предложенным способом регулирования и риски негативных последствий не выявлены;Оценка вероятности наступления рисков отсутствует;Метод контроля эффективности избранного способа достижения целей регулирования отсутствует;Отсутствует
109557;Отсутствуют.;Отсутствуют.;Отсутствуют.;Отсутствуют.
109558;Не выявлены.;Не выявлены.;non-applicable;non-applicable
109565;Риски не выявлены.;Риски не выявлены.;Риски не выявлены.;Риски не выявлены.
109568;Риски не выявлены.;Риски не выявлены.;Риски не выявлены.;Риски не выявлены.
109576;отсутствуют;отсутствуют;отсутствуют;отсутствуют
109577;Риски не выявлены.;Риски не выявлены.;Риски не выявлены.;Риски не выявлены.
109587;отсутствуют;отсутствуют;отсутствуют;отсутствуют
109589;Риски не выявлены.;Риски не выявлены.;Риски не выявлены.;Риски не выявлены.
109592;Риски не выявлены.;Риски не выявлены.;Риски не выявлены.;Риски не выявлены.
109593;Риски не выявлены.;Риски не выявлены.;Риски не выявлены.;Риски не выявлены.
109594;не выявлены;-;-;-
109617;Отсутствуют.;Отсутствуют.;non-applicable;non-applicable
109628;Риск несоответствия между предложенным способом решения проблемы и заявленными целями регулирования, негативные последствия не ожидаются.;Маловероятен;Данный риск будет контролироваться мероприятиями по мониторингу в части улучшения сбора данных Росрыболовством;Данный риск будет контролироваться мероприятиями по мониторингу реализации инвестиционных проектов, контролируемых Росрыболовством.
109631;Отсутствуют;Отсутствуют;non-applicable;non-applicable
109648;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют
109652;-;-;-;-
109656;риски отсутствуют;риски отсутствуют;риски отсутствуют;риски отсутствуют
109664;-;-;-;-
109667;-;-;-;--
109668;-;-;non-applicable;non-applicable
109673;Предложенный способ решения проблемы не связан с появлением новых рисков и негативных последствий;Нет данных;Нет данных;Нет данных
109683;-;-;non-applicable;non-applicable
109693;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
109694;Отсутствуют;Не предусмотрены;non-applicable;non-applicable
109756;отсутствуют;отсутствуют;отсутствуют;отсутствуют
109758;Риски отсутствуют;Нулевая;-;-
109763;-;-;-;-
109780;отсутствуют;не проводилась;non-applicable;non-applicable
109799;-;-;non-applicable;non-applicable
109807;_;_;_;_
109874;нет;нет;нет;нет
109878;Отсутствуют;Отсутствуют;non-applicable;non-applicable
109885;Нет;Нет;Нет;Нет
109887;Сохранение пробелов и противоречий регулирования;В случае непринятия поправок, предлагаемых проектом приказа;В рамках мониторинга правоприменения;На основании оценки правоприменительной практики
109892;нет;нет;non-applicable;non-applicable
109902;(Риск 1);-;-;-
109902;(Риск N);-;-;-
109906;отсутствуют;вероятность наступления рисков отсутствует;non-applicable;non-applicable
109907;Отсутствуют.;Отсутствуют.;non-applicable;non-applicable
109935;Риски невозможности обеспечения контроля соблюдения требований, вводимых новым регулированием.;Отсутствуют;Отсутствуют;Отсутствуют
109935;Риски недостаточности механизмов для реализации предложенного способа решения проблемы;Отсутствуют;Отсутствуют;Отсутствуют
109935;Риски недостаточности необходимых материальных и человеческих ресурсов.;Отсутствуют;Отсутствуют;Отсутствуют
109935;Риски несоответствия между способом регулирования и заявленными целями регулирования.;Отсутствуют;Отсутствуют;Отсутствуют
109935;Риски несоответствия предложенного способа регулирования уровню развития или распространения необходимых технологий.;Отсутствуют;Отсутствуют;Отсутствуют
109935;риски негативных последствий;Отсутствуют;Отсутствуют;Отсутствуют
109947;Отсутствуют.;Отсутствуют.;non-applicable;non-applicable
109983;Отсутствуют.;Отсутствуют.;non-applicable;non-applicable
109984;Риски несоответствия между способом регулирования и заявленными целями регулирования.; ; ; 
109984;Риски недостаточности механизмов для реализации предложенного способа решения проблемы; ; ; 
109984;"Риски невозможности обеспечения контроля соблюдения требований, вводимых новым регулированием.";Отсутствуют;Отсутствуют;Отсутствуют
109984;Риски недостаточности необходимых материальных и человеческих ресурсов.; ; ; 
109984;Риски несоответствия предложенного способа регулирования уровню развития или распространения необходимых технологий.; ; ; 
109984;риски негативных последствий;Отсутствуют;Отсутствуют;Отсутствуют
109989;Отсутствуют.;Отсутствуют.;non-applicable;non-applicable
109993;отсутствуют;-;non-applicable;non-applicable
110005;Отсутствуют;-;-;-
110006;Риски отсутствуют;-;-;-
110007;Отсутствует;Отсутствует;Отсутствует;Отсутствует
110010;-;-;-;-
110015;-;-;-;-
110020;-;-;-;-
110021;Отсутствуют;-;-;-
110027;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
110073;Отсутствуют.;Отсутствуют.;non-applicable;non-applicable
110084;Отсутствуют.;Отсутствуют.;non-applicable;non-applicable
110085;нет;нет;non-applicable;non-applicable
110122;-;-;-;-
110123;Отсутствуют.;Отсутствуют.;Отсутствуют.;Отсутствуют.
110125;отсутствуют;риски отсутствуют;не требуются;риски отсутствуют
110130;отсутствуют;отсутствуют;Существующие;Высокая
110137;отсутствуют;отсутствуют;non-applicable;non-applicable
110147;нет;нет;нет;нет
110171;"1) Неприведение нормативных правовых актов, распорядительных и иных актов субъектов Российской Федерации и муниципальных образований в соответствие с предложенными изменениями в приказ Минпросвещения России;
";"1) Низкая степень вероятности
";non-applicable;non-applicable
110171;2) Продолжение реализации системы персонифицированного финансирования в нарушение принципов Целевой модели развития региональных систем дополнительного образования в условиях отсутствия механизмов контроля и применения мер ответственности за нарушение предусмотренных принципов.;2) Средняя степень вероятности;non-applicable;non-applicable
110178;отсутствуют;0;отсутствуют;0
110181;Риски негативных последствий не выявлены.;Оценка вероятности наступления рисков отсутствует.;Метод контроля эффективности избранного способа достижения целей регулирования отсутствует.;Информация отсутствует.
110182;не выявлены;низкая;non-applicable;non-applicable
110188;-;-;-;-
110203;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
110208;риски решения проблемы предложенным способом и риски негативных последствий не выявлены;Отсутствуют.;non-applicable;non-applicable
110213;отсутствуют;отсутствует;отсутствуют;отсутствуют
110215;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
110216;не выявлены;низкая;non-applicable;non-applicable
110217;отсутствуют;отсутствуют;отсутствуют;отсутствует
110224;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
110231;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
110251;Риски отсутствуют, так как проект постановления является корреспондирующим положениям Федеральным законом от 27 декабря 2019 г. № 478-ФЗ «О внесении изменений в отдельные законодательные акты Российской Федерации в части внедрения реестровой модели предоставления государственных услуг по лицензированию отдельных видов деятельности» и таким образом Положение о лицензировании деятельности по содержанию и использованию животных в зоопарках, зоосадах, цирках, зоотеатрах, дельфинариях и океанариумах приводятся в соответствие с актом более высокой силы.;Так как риски отсутствуют, вероятность их наступления также отсутствует.;non-applicable;non-applicable
110254;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
110259;отсутствуют;отсутствуют;оценка состояния конкуренции на рынке лизинговых услуг;отсутствует
110262;-;-;-;-
110278;отсутствуют;отсутствуют;non-applicable;non-applicable
110288;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
110289;Отсутствуют.;Отсутствуют.;non-applicable;non-applicable
110304;Отсутствуют.;Отсутствуют.;non-applicable;non-applicable
110310;Нет.;Нет.;Нет.;Нет.
110319;Не выявлены;низкая;non-applicable;non-applicable
110327;не выявлены;низкая;non-applicable;non-applicable
110334;Не выявлены;низкая;non-applicable;non-applicable
110337;нет;нет;нет;нет
110353;-;-;-;-
110427;Не имеется;Не имеется;non-applicable;non-applicable
110437;Отсутствуют;Минимальная;Существующие;Высокая
110446;Отмена устанавливающих проектом акта требований может привести к резкому снижению уровня безопасности и надежности теплоснабжения, высоким показателям аварийности, и не позволит исключить негативное влияние теплопотребляющих установок одного потребителя на объекты теплоснабжения других лиц, объединенных одной системой теплоснабжения.;Не представляет возможным оценить.;Государственный надзор за соблюдением требований проект акта осуществляется органами федерального государственного энергетического надзора в порядке, установленном законодательством Российской Федерации.;Не представляет возможным оценить.
110452;нет;нет;нет;нет
110463;-;-;-;-
110473;нет;нет;информация ипподромов по количеству испытываемых племенных лошадей рысистых пород;нет
110478;Отсутствуют;Отсутствуют;Существующие;Высокая
110499;нет;нет;non-applicable;non-applicable
110510;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют
110519;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
110520;отсутствует;отсутствует;отсутствует;отсутствует
110523;отсутствуют;отсутствуют;Существующие;Высокая
110531;отсутствуют;отсутствуют;отсутствуют;отсутствуют
110538;Информация уточняется;Информация уточняется;non-applicable;non-applicable
110542;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
110550;(Риск N);-;non-applicable;non-applicable
110550;нет;нет;non-applicable;non-applicable
110562;Отсутствуют;Нет;Существующие;Высокая
110564;Отсутствует.;Отсутствует.;non-applicable;non-applicable
110569;Нет;Нет;Нет;Нет
110579;Нет;Нет;Нет;Нет
110590;Риски и негативные последствия отсутствуют;Риски и негативные последствия отсутствуют;non-applicable;non-applicable
110614;отсутствуют;отсутствуют;не предусматриваются;полная
110622;не выявлены;низкая;non-applicable;non-applicable
110641;отсутствует;отсутствует;отсутствует;отсутствует
110643;отсутствует;отсутствует;отсутствует;отсутствует
110647;отсутствует;отсутствует;отсутствует;отсутствует
110649;Риски решения проблемы предложенным способом и риски негативных последствий отсутствуют.;Отсутствуют.;Не требуются.;Не устанавливается.
110650;Отсутствуют.;Отсутствуют.;Отсутствуют.;Отсутствует.
110651;отсутствуют;отсутствуют;отсутствуют;отсутствуют
110655;Нет;Нет;Нет;Нет
110656;отсутствует;отсутствует;отсутствует;отсутствует
110661;отсутствуют;-;-;-
110665;отсутствует;отсутствует;отсутствует;отсутствует
110670;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют
110674;Нет;Нт;Нет;Нет
110690;Риски отсутствуют;отсутствуют;отсутствуют;отсутствует
110735;отсутствуют;отсутствуют;non-applicable;non-applicable
110740;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
110752;Риск несоответствия между предложенным способом решения проблемы и заявленными целями регулирования;отсутствуют;Данный риск будет контролироваться мероприятиями по мониторингу и данными ГРР;Полный контроль
